ts,open,high,low,close,volume,dt
1694664000000,53.92,53.93,53.3,53.8,49162.9,2023-09-14 04:00:00+00:00
1694678400000,53.81,54.08,53.43,54.06,32285.5,2023-09-14 08:00:00+00:00
1694692800000,54.06,54.96,53.63,54.53,102030.6,2023-09-14 12:00:00+00:00
1694707200000,54.54,55.06,54.23,54.75,80118.7,2023-09-14 16:00:00+00:00
1694721600000,54.75,54.84,54.12,54.32,29245.1,2023-09-14 20:00:00+00:00
1694736000000,54.32,54.92,53.86,54.68,48934.8,2023-09-15 00:00:00+00:00
1694750400000,54.69,54.93,54.33,54.55,39292.7,2023-09-15 04:00:00+00:00
1694764800000,54.54,55.37,54.43,54.7,62063.0,2023-09-15 08:00:00+00:00
1694779200000,54.7,54.84,54.03,54.41,63976.2,2023-09-15 12:00:00+00:00
1694793600000,54.41,54.74,54.27,54.6,27568.0,2023-09-15 16:00:00+00:00
1694808000000,54.61,56.1,54.5,55.84,88569.2,2023-09-15 20:00:00+00:00
1694822400000,55.84,62.9,55.75,59.14,748962.4,2023-09-16 00:00:00+00:00
1694836800000,59.14,61.12,58.8,59.27,266814.7,2023-09-16 04:00:00+00:00
1694851200000,59.27,59.81,58.81,59.37,142566.2,2023-09-16 08:00:00+00:00
1694865600000,59.36,60.03,58.32,58.69,173750.0,2023-09-16 12:00:00+00:00
1694880000000,58.7,59.61,58.59,59.07,99683.5,2023-09-16 16:00:00+00:00
1694894400000,59.07,59.6,58.89,59.14,58052.5,2023-09-16 20:00:00+00:00
1694908800000,59.13,59.95,57.53,59.74,206125.0,2023-09-17 00:00:00+00:00
1694923200000,59.75,61.46,59.37,60.84,287522.8,2023-09-17 04:00:00+00:00
1694937600000,60.85,61.6,60.66,60.84,240260.1,2023-09-17 08:00:00+00:00
1694952000000,60.85,61.33,60.33,60.59,145835.6,2023-09-17 12:00:00+00:00
1694966400000,60.59,60.74,59.36,59.47,174623.6,2023-09-17 16:00:00+00:00
1694980800000,59.46,59.61,58.48,59.33,154683.2,2023-09-17 20:00:00+00:00
1694995200000,59.34,59.84,58.07,59.69,192640.1,2023-09-18 00:00:00+00:00
1695009600000,59.7,61.18,59.69,60.62,169272.8,2023-09-18 04:00:00+00:00
1695024000000,60.62,62.1,60.4,61.81,198018.6,2023-09-18 08:00:00+00:00
1695038400000,61.81,62.48,61.24,61.63,139950.4,2023-09-18 12:00:00+00:00
1695052800000,61.62,61.94,60.46,60.74,158575.3,2023-09-18 16:00:00+00:00
1695067200000,60.75,60.86,60.36,60.48,60389.0,2023-09-18 20:00:00+00:00
1695081600000,60.48,62.2,60.45,61.57,199525.5,2023-09-19 00:00:00+00:00
1695096000000,61.57,62.3,61.43,62.07,81708.7,2023-09-19 04:00:00+00:00
1695110400000,62.07,64.47,61.91,62.86,241030.7,2023-09-19 08:00:00+00:00
1695124800000,62.88,62.94,61.61,62.43,151127.1,2023-09-19 12:00:00+00:00
1695139200000,62.44,62.52,61.62,61.75,68192.7,2023-09-19 16:00:00+00:00
1695153600000,61.74,62.07,61.34,61.8,60195.1,2023-09-19 20:00:00+00:00
1695168000000,61.81,62.82,61.34,61.59,111676.3,2023-09-20 00:00:00+00:00
1695182400000,61.58,61.82,61.2,61.53,55548.3,2023-09-20 04:00:00+00:00
1695196800000,61.53,62.59,61.4,62.12,137193.4,2023-09-20 08:00:00+00:00
