ts,open,high,low,close,volume,dt
1694664000000,0.8072,0.8107,0.7952,0.8067,23652289.1,2023-09-14 04:00:00+00:00
1694678400000,0.8067,0.812,0.798,0.8049,22440531.3,2023-09-14 08:00:00+00:00
1694692800000,0.805,0.8173,0.797,0.8089,38345830.4,2023-09-14 12:00:00+00:00
1694707200000,0.809,0.8143,0.8012,0.8088,22268087.7,2023-09-14 16:00:00+00:00
1694721600000,0.8088,0.8103,0.8002,0.8034,12874051.4,2023-09-14 20:00:00+00:00
1694736000000,0.8034,0.81,0.7912,0.8079,27998693.1,2023-09-15 00:00:00+00:00
1694750400000,0.8079,0.8125,0.8019,0.8049,18562866.7,2023-09-15 04:00:00+00:00
1694764800000,0.805,0.806,0.793,0.7946,19279093.2,2023-09-15 08:00:00+00:00
1694779200000,0.7946,0.7973,0.7827,0.7913,37711107.9,2023-09-15 12:00:00+00:00
1694793600000,0.7913,0.794,0.7858,0.7899,21574444.8,2023-09-15 16:00:00+00:00
1694808000000,0.79,0.8148,0.7882,0.8076,27279430.9,2023-09-15 20:00:00+00:00
1694822400000,0.8075,0.8377,0.806,0.8255,49455412.3,2023-09-16 00:00:00+00:00
1694836800000,0.8256,0.83,0.8186,0.8235,25260980.2,2023-09-16 04:00:00+00:00
1694851200000,0.8235,0.827,0.8187,0.8246,18789601.3,2023-09-16 08:00:00+00:00
1694865600000,0.8247,0.8312,0.8149,0.8169,27133898.7,2023-09-16 12:00:00+00:00
1694880000000,0.8169,0.8222,0.8121,0.8206,15633601.5,2023-09-16 16:00:00+00:00
1694894400000,0.8206,0.8291,0.8197,0.8276,12808081.9,2023-09-16 20:00:00+00:00
1694908800000,0.8276,0.8279,0.8102,0.8193,24145269.6,2023-09-17 00:00:00+00:00
1694923200000,0.8193,0.8221,0.811,0.8121,14252979.3,2023-09-17 04:00:00+00:00
1694937600000,0.8121,0.8173,0.8061,0.8122,16796491.7,2023-09-17 08:00:00+00:00
1694952000000,0.8122,0.8152,0.8082,0.8106,9797727.6,2023-09-17 12:00:00+00:00
1694966400000,0.8105,0.8122,0.7914,0.7948,27411813.8,2023-09-17 16:00:00+00:00
1694980800000,0.7947,0.7978,0.7798,0.7943,29999277.6,2023-09-17 20:00:00+00:00
1694995200000,0.7944,0.813,0.7834,0.8103,28358737.0,2023-09-18 00:00:00+00:00
1695009600000,0.8102,0.8212,0.8062,0.8154,24320792.8,2023-09-18 04:00:00+00:00
1695024000000,0.8154,0.8297,0.812,0.8294,30046560.3,2023-09-18 08:00:00+00:00
1695038400000,0.8293,0.8374,0.822,0.8334,31153576.9,2023-09-18 12:00:00+00:00
1695052800000,0.8334,0.8409,0.8202,0.8317,42011346.4,2023-09-18 16:00:00+00:00
1695067200000,0.8317,0.8349,0.8214,0.8232,16209873.0,2023-09-18 20:00:00+00:00
1695081600000,0.8232,0.8336,0.8178,0.8304,19526629.8,2023-09-19 00:00:00+00:00
1695096000000,0.8304,0.8393,0.828,0.8356,15505035.8,2023-09-19 04:00:00+00:00
1695110400000,0.8356,0.8522,0.8354,0.8454,39729992.6,2023-09-19 08:00:00+00:00
1695124800000,0.8453,0.851,0.8336,0.8451,30956512.8,2023-09-19 12:00:00+00:00
1695139200000,0.8451,0.8503,0.8372,0.8493,20052167.2,2023-09-19 16:00:00+00:00
1695153600000,0.8494,0.8644,0.8435,0.8637,23341630.2,2023-09-19 20:00:00+00:00
1695168000000,0.8636,0.8706,0.8504,0.8545,30066420.4,2023-09-20 00:00:00+00:00
1695182400000,0.8545,0.86,0.8485,0.8499,24628172.2,2023-09-20 04:00:00+00:00
1695196800000,0.8499,0.8557,0.8354,0.8427,32537014.7,2023-09-20 08:00:00+00:00
1695211200000,0.8426,0.8516,0.8331,0.8484,31438030.4,2023-09-20 12:00:00+00:00
1695225600000,0.8486,0.8543,0.835,0.8413,38133750.1,2023-09-20 16:00:00+00:00
1695240000000,0.8412,0.8609,0.841,0.8601,16162986.2,2023-09-20 20:00:00+00:00
1695254400000,0.8601,0.8657,0.8434,0.8489,22751073.6,2023-09-21 00:00:00+00:00
1695268800000,0.849,0.8493,0.8347,0.8369,26073760.0,2023-09-21 04:00:00+00:00
1695283200000,0.8369,0.841,0.8128,0.8196,45324385.1,2023-09-21 08:00:00+00:00
1695297600000,0.8195,0.8256,0.8081,0.8237,28855604.9,2023-09-21 12:00:00+00:00
1695312000000,0.8238,0.8316,0.821,0.8309,14363633.9,2023-09-21 16:00:00+00:00
1695326400000,0.8309,0.8312,0.8213,0.8217,10538504.7,2023-09-21 20:00:00+00:00
