ts,open,high,low,close,volume,dt
1694664000000,211.94,212.37,211.03,212.03,81839.6,2023-09-14 04:00:00+00:00
1694678400000,212.02,212.85,211.46,212.52,86628.11,2023-09-14 08:00:00+00:00
1694692800000,212.52,214.24,211.5,213.05,228868.42,2023-09-14 12:00:00+00:00
1694707200000,213.04,213.22,211.6,212.75,128095.77,2023-09-14 16:00:00+00:00
1694721600000,212.76,212.97,211.67,212.04,70582.43,2023-09-14 20:00:00+00:00
1694736000000,212.05,213.0,211.5,212.65,100139.82,2023-09-15 00:00:00+00:00
1694750400000,212.65,213.2,211.68,211.72,88087.97,2023-09-15 04:00:00+00:00
1694764800000,211.72,213.25,211.54,211.97,115061.85,2023-09-15 08:00:00+00:00
1694779200000,211.98,212.53,210.79,212.01,161230.1,2023-09-15 12:00:00+00:00
1694793600000,212.02,212.43,211.6,212.03,65781.05,2023-09-15 16:00:00+00:00
1694808000000,212.04,214.9,211.86,214.0,144021.56,2023-09-15 20:00:00+00:00
1694822400000,214.01,215.83,214.0,214.49,140310.76,2023-09-16 00:00:00+00:00
1694836800000,214.49,215.5,214.24,214.96,111188.92,2023-09-16 04:00:00+00:00
1694851200000,214.95,214.99,213.3,214.15,152258.69,2023-09-16 08:00:00+00:00
1694865600000,214.15,214.32,213.17,213.91,62005.24,2023-09-16 12:00:00+00:00
1694880000000,213.91,214.82,213.74,214.22,64155.43,2023-09-16 16:00:00+00:00
1694894400000,214.22,215.0,214.09,214.74,49794.95,2023-09-16 20:00:00+00:00
1694908800000,214.74,215.0,213.1,214.77,106628.27,2023-09-17 00:00:00+00:00
1694923200000,214.77,214.89,214.1,214.3,51946.14,2023-09-17 04:00:00+00:00
1694937600000,214.31,215.18,214.23,214.56,56555.14,2023-09-17 08:00:00+00:00
1694952000000,214.57,216.91,214.52,216.19,184108.62,2023-09-17 12:00:00+00:00
1694966400000,216.18,216.46,215.0,216.41,110634.8,2023-09-17 16:00:00+00:00
1694980800000,216.42,216.49,214.97,216.31,146400.57,2023-09-17 20:00:00+00:00
1694995200000,216.3,218.8,215.0,217.8,338903.33,2023-09-18 00:00:00+00:00
1695009600000,217.8,218.12,216.69,216.93,127929.95,2023-09-18 04:00:00+00:00
1695024000000,216.94,220.18,216.43,219.85,334162.76,2023-09-18 08:00:00+00:00
1695038400000,219.86,221.46,218.4,219.51,233375.35,2023-09-18 12:00:00+00:00
1695052800000,219.5,219.82,215.15,216.62,354734.3,2023-09-18 16:00:00+00:00
1695067200000,216.62,216.88,215.12,215.99,125377.42,2023-09-18 20:00:00+00:00
1695081600000,215.98,216.91,215.31,216.48,87680.79,2023-09-19 00:00:00+00:00
1695096000000,216.48,217.1,216.09,217.01,70869.67,2023-09-19 04:00:00+00:00
1695110400000,217.0,219.99,216.99,218.43,205035.0,2023-09-19 08:00:00+00:00
1695124800000,218.42,218.89,216.61,218.46,218185.13,2023-09-19 12:00:00+00:00
1695139200000,218.47,218.7,216.43,217.01,118302.42,2023-09-19 16:00:00+00:00
1695153600000,217.01,217.44,216.24,217.22,69554.27,2023-09-19 20:00:00+00:00
1695168000000,217.21,217.88,216.25,216.4,91798.18,2023-09-20 00:00:00+00:00
1695182400000,216.39,216.77,215.74,216.4,78391.39,2023-09-20 04:00:00+00:00
1695196800000,216.4,217.1,214.69,215.92,126505.77,2023-09-20 08:00:00+00:00
1695211200000,215.93,216.84,215.23,215.92,118215.01,2023-09-20 12:00:00+00:00
1695225600000,215.91,216.97,212.78,214.42,201487.23,2023-09-20 16:00:00+00:00
1695240000000,214.44,219.04,213.49,214.39,216366.18,2023-09-20 20:00:00+00:00
1695254400000,214.4,215.29,213.82,215.2,119144.55,2023-09-21 00:00:00+00:00
1695268800000,215.2,215.25,213.16,213.34,92610.72,2023-09-21 04:00:00+00:00
1695283200000,213.34,213.69,209.2,210.63,393117.33,2023-09-21 08:00:00+00:00
1695297600000,210.63,212.3,209.33,210.7,255735.03,2023-09-21 12:00:00+00:00
1695312000000,210.71,211.37,210.53,210.73,67808.87,2023-09-21 16:00:00+00:00
1695326400000,210.74,211.08,209.93,210.91,48572.11,2023-09-21 20:00:00+00:00
1695340800000,210.9,212.34,209.7,211.96,129616.47,2023-09-22 00:00:00+00:00
1695355200000,211.96,212.04,210.48,211.59,86744.85,2023-09-22 04:00:00+00:00
1695369600000,211.6,211.95,210.73,211.23,76242.92,2023-09-22 08:00:00+00:00
1695384000000,211.22,211.4,210.3,210.73,84490.23,2023-09-22 12:00:00+00:00
1695398400000,210.74,211.29,209.76,210.62,114212.5,2023-09-22 16:00:00+00:00
1695412800000,210.62,211.4,210.18,211.15,51052.67,2023-09-22 20:00:00+00:00
