ts,open,high,low,close,volume,dt
1694664000000,1619.36,1625.21,1611.36,1620.67,178326.375,2023-09-14 04:00:00+00:00
1694678400000,1620.67,1626.69,1616.39,1623.9,177396.585,2023-09-14 08:00:00+00:00
1694692800000,1623.89,1644.45,1615.85,1634.02,681465.642,2023-09-14 12:00:00+00:00
1694707200000,1634.02,1644.16,1625.4,1635.14,305100.062,2023-09-14 16:00:00+00:00
1694721600000,1635.15,1637.42,1622.64,1625.65,149496.287,2023-09-14 20:00:00+00:00
1694736000000,1625.65,1635.05,1621.14,1633.72,208759.791,2023-09-15 00:00:00+00:00
1694750400000,1633.72,1635.19,1625.99,1627.18,117608.822,2023-09-15 04:00:00+00:00
1694764800000,1627.19,1631.13,1616.66,1620.09,194025.403,2023-09-15 08:00:00+00:00
1694779200000,1620.08,1625.05,1610.0,1618.62,297272.01,2023-09-15 12:00:00+00:00
1694793600000,1618.61,1623.0,1616.6,1620.6,139740.654,2023-09-15 16:00:00+00:00
1694808000000,1620.6,1653.91,1618.37,1640.67,469559.522,2023-09-15 20:00:00+00:00
1694822400000,1640.66,1652.97,1637.55,1640.99,212896.226,2023-09-16 00:00:00+00:00
1694836800000,1640.99,1641.6,1633.66,1636.21,151100.136,2023-09-16 04:00:00+00:00
1694851200000,1636.21,1638.05,1630.37,1634.93,146138.139,2023-09-16 08:00:00+00:00
1694865600000,1634.93,1638.61,1630.5,1633.71,103686.577,2023-09-16 12:00:00+00:00
1694880000000,1633.71,1638.94,1630.67,1632.74,105867.153,2023-09-16 16:00:00+00:00
1694894400000,1632.74,1637.27,1631.9,1633.68,59111.808,2023-09-16 20:00:00+00:00
1694908800000,1633.68,1633.84,1618.0,1628.33,264209.789,2023-09-17 00:00:00+00:00
1694923200000,1628.33,1630.95,1626.43,1626.85,80946.743,2023-09-17 04:00:00+00:00
1694937600000,1626.85,1634.43,1626.33,1628.62,116029.008,2023-09-17 08:00:00+00:00
1694952000000,1628.63,1631.41,1626.63,1628.61,86127.284,2023-09-17 12:00:00+00:00
1694966400000,1628.61,1628.77,1616.68,1624.93,171680.652,2023-09-17 16:00:00+00:00
1694980800000,1624.94,1626.16,1610.81,1621.62,227082.128,2023-09-17 20:00:00+00:00
1694995200000,1621.63,1636.05,1598.58,1629.35,425319.859,2023-09-18 00:00:00+00:00
1695009600000,1629.36,1638.0,1625.9,1633.22,237580.367,2023-09-18 04:00:00+00:00
1695024000000,1633.21,1658.88,1629.98,1655.16,499928.954,2023-09-18 08:00:00+00:00
1695038400000,1655.17,1668.64,1649.65,1654.7,538835.996,2023-09-18 12:00:00+00:00
1695052800000,1654.69,1659.94,1632.0,1640.06,533676.226,2023-09-18 16:00:00+00:00
1695067200000,1640.06,1641.52,1634.28,1635.63,134588.31,2023-09-18 20:00:00+00:00
1695081600000,1635.63,1639.4,1625.02,1633.93,232471.852,2023-09-19 00:00:00+00:00
1695096000000,1633.94,1637.88,1631.51,1635.42,106974.047,2023-09-19 04:00:00+00:00
1695110400000,1635.41,1660.69,1635.12,1647.06,456373.82,2023-09-19 08:00:00+00:00
1695124800000,1647.06,1658.96,1633.27,1656.32,527545.411,2023-09-19 12:00:00+00:00
1695139200000,1656.31,1658.91,1639.21,1643.39,291435.931,2023-09-19 16:00:00+00:00
1695153600000,1643.38,1643.98,1636.01,1642.49,161816.615,2023-09-19 20:00:00+00:00
1695168000000,1642.48,1648.68,1635.0,1636.78,196632.094,2023-09-20 00:00:00+00:00
1695182400000,1636.78,1638.62,1629.59,1633.84,209573.737,2023-09-20 04:00:00+00:00
1695196800000,1633.84,1637.51,1616.33,1629.03,389816.926,2023-09-20 08:00:00+00:00
1695211200000,1629.04,1633.7,1619.69,1628.41,305414.606,2023-09-20 12:00:00+00:00
1695225600000,1628.4,1640.0,1602.0,1615.37,565773.854,2023-09-20 16:00:00+00:00
1695240000000,1615.38,1629.36,1614.07,1621.6,205607.583,2023-09-20 20:00:00+00:00
1695254400000,1621.6,1624.81,1612.5,1622.71,199369.571,2023-09-21 00:00:00+00:00
1695268800000,1622.72,1624.05,1616.11,1617.48,126661.553,2023-09-21 04:00:00+00:00
1695283200000,1617.47,1622.18,1585.81,1594.09,701473.426,2023-09-21 08:00:00+00:00
1695297600000,1594.08,1596.36,1565.5,1583.0,696870.051,2023-09-21 12:00:00+00:00
1695312000000,1583.0,1592.7,1581.26,1588.91,213601.411,2023-09-21 16:00:00+00:00
1695326400000,1588.92,1589.62,1582.03,1583.0,111756.615,2023-09-21 20:00:00+00:00
1695340800000,1583.0,1595.77,1575.46,1593.91,250544.405,2023-09-22 00:00:00+00:00
1695355200000,1593.92,1597.0,1586.01,1595.0,166322.124,2023-09-22 04:00:00+00:00
1695369600000,1595.0,1602.28,1592.13,1596.37,189526.66,2023-09-22 08:00:00+00:00
1695384000000,1596.37,1600.0,1592.03,1592.65,209118.527,2023-09-22 12:00:00+00:00
1695398400000,1592.65,1598.55,1585.8,1591.6,219868.851,2023-09-22 16:00:00+00:00
1695412800000,1591.59,1594.54,1588.35,1592.28,86050.475,2023-09-22 20:00:00+00:00
1695427200000,1592.28,1597.6,1589.5,1590.2,122691.197,2023-09-23 00:00:00+00:00
1695441600000,1590.2,1594.86,1588.96,1593.73,78211.538,2023-09-23 04:00:00+00:00
1695456000000,1593.73,1594.3,1590.24,1592.62,61433.749,2023-09-23 08:00:00+00:00
1695470400000,1592.62,1594.5,1586.53,1589.75,99671.873,2023-09-23 12:00:00+00:00
1695484800000,1589.75,1594.87,1588.08,1593.93,98350.339,2023-09-23 16:00:00+00:00
1695499200000,1593.92,1594.85,1589.26,1592.97,52319.539,2023-09-23 20:00:00+00:00
1695513600000,1592.97,1594.36,1589.95,1591.51,51742.304,2023-09-24 00:00:00+00:00
1695528000000,1591.5,1592.36,1590.42,1591.0,40604.057,2023-09-24 04:00:00+00:00
1695542400000,1590.99,1595.65,1590.99,1593.31,69824.561,2023-09-24 08:00:00+00:00
1695556800000,1593.32,1595.98,1587.04,1589.87,114617.465,2023-09-24 12:00:00+00:00
1695571200000,1589.87,1600.95,1576.48,1585.23,393457.299,2023-09-24 16:00:00+00:00
1695585600000,1585.23,1590.75,1568.28,1579.99,214159.026,2023-09-24 20:00:00+00:00
1695600000000,1579.99,1587.69,1562.0,1577.0,386165.249,2023-09-25 00:00:00+00:00
1695614400000,1577.0,1581.33,1571.56,1580.51,182373.565,2023-09-25 04:00:00+00:00
1695628800000,1580.52,1582.61,1565.0,1567.96,212934.819,2023-09-25 08:00:00+00:00
1695643200000,1567.96,1589.47,1563.0,1583.88,377295.912,2023-09-25 12:00:00+00:00
1695657600000,1583.88,1597.13,1583.88,1590.9,335216.867,2023-09-25 16:00:00+00:00
1695672000000,1590.9,1595.99,1583.47,1587.69,130111.367,2023-09-25 20:00:00+00:00
1695686400000,1587.68,1593.97,1585.32,1591.03,132671.672,2023-09-26 00:00:00+00:00
1695700800000,1591.03,1594.56,1586.0,1588.21,125957.611,2023-09-26 04:00:00+00:00
1695715200000,1588.2,1599.4,1584.89,1590.85,256722.741,2023-09-26 08:00:00+00:00
1695729600000,1590.84,1593.2,1578.61,1582.17,307080.588,2023-09-26 12:00:00+00:00
1695744000000,1582.18,1592.45,1581.04,1588.71,206746.629,2023-09-26 16:00:00+00:00
1695758400000,1588.71,1595.0,1583.23,1593.3,157509.851,2023-09-26 20:00:00+00:00
1695772800000,1593.3,1597.71,1588.54,1594.92,161406.693,2023-09-27 00:00:00+00:00
1695787200000,1594.92,1596.95,1590.0,1591.71,134849.973,2023-09-27 04:00:00+00:00
1695801600000,1591.7,1633.98,1589.35,1628.91,738095.431,2023-09-27 08:00:00+00:00
1695816000000,1628.91,1630.8,1591.1,1600.99,792379.074,2023-09-27 12:00:00+00:00
1695830400000,1600.98,1602.45,1582.64,1597.0,367147.947,2023-09-27 16:00:00+00:00
1695844800000,1597.0,1599.04,1592.32,1597.89,111956.792,2023-09-27 20:00:00+00:00
1695859200000,1597.89,1614.99,1597.17,1605.36,319739.911,2023-09-28 00:00:00+00:00
1695873600000,1605.37,1621.2,1603.78,1618.44,268984.571,2023-09-28 04:00:00+00:00
1695888000000,1618.44,1638.06,1613.59,1622.94,481270.041,2023-09-28 08:00:00+00:00
1695902400000,1622.95,1654.51,1620.78,1652.02,830184.599,2023-09-28 12:00:00+00:00
1695916800000,1652.01,1668.0,1644.0,1657.59,735517.841,2023-09-28 16:00:00+00:00
1695931200000,1657.6,1660.71,1642.03,1652.13,197223.133,2023-09-28 20:00:00+00:00
