ts,open,high,low,close,volume,dt
1757390400000,0.4722,0.4881,0.456,0.4742,17689695.0,2025-09-09 04:00:00+00:00
1757404800000,0.4738,0.4964,0.4018,0.4132,68751819.0,2025-09-09 08:00:00+00:00
1757419200000,0.4132,0.442,0.4005,0.4112,71966958.0,2025-09-09 12:00:00+00:00
1757433600000,0.4112,0.4175,0.3925,0.4056,35247184.0,2025-09-09 16:00:00+00:00
1757448000000,0.4055,0.4208,0.4017,0.4091,17009673.0,2025-09-09 20:00:00+00:00
1757462400000,0.4089,0.4094,0.3808,0.3932,43378869.0,2025-09-10 00:00:00+00:00
1757476800000,0.3931,0.3956,0.3839,0.3863,25991287.0,2025-09-10 04:00:00+00:00
1757491200000,0.3863,0.392,0.3678,0.3792,29197435.0,2025-09-10 08:00:00+00:00
1757505600000,0.3792,0.3867,0.3706,0.3723,25785878.0,2025-09-10 12:00:00+00:00
1757520000000,0.3724,0.3725,0.3598,0.368,26288320.0,2025-09-10 16:00:00+00:00
1757534400000,0.3679,0.3736,0.3621,0.3692,15390090.0,2025-09-10 20:00:00+00:00
1757548800000,0.3691,0.3873,0.3561,0.3621,39303460.0,2025-09-11 00:00:00+00:00
1757563200000,0.3621,0.3714,0.3533,0.3673,20889797.0,2025-09-11 04:00:00+00:00
1757577600000,0.3672,0.3818,0.3585,0.3588,30985882.0,2025-09-11 08:00:00+00:00
1757592000000,0.3587,0.3601,0.3428,0.3448,32904644.0,2025-09-11 12:00:00+00:00
1757606400000,0.345,0.353,0.3411,0.3495,11742045.0,2025-09-11 16:00:00+00:00
1757620800000,0.3495,0.3548,0.3473,0.3504,8634656.0,2025-09-11 20:00:00+00:00
1757635200000,0.3503,0.3719,0.346,0.3697,21466267.0,2025-09-12 00:00:00+00:00
1757649600000,0.3698,0.3808,0.3593,0.372,30931401.0,2025-09-12 04:00:00+00:00
1757664000000,0.3719,0.3762,0.3638,0.3748,21551799.0,2025-09-12 08:00:00+00:00
1757678400000,0.3748,0.3853,0.3665,0.3792,22231311.0,2025-09-12 12:00:00+00:00
1757692800000,0.3792,0.3862,0.3698,0.3724,14593385.0,2025-09-12 16:00:00+00:00
1757707200000,0.3725,0.3857,0.371,0.3842,10872245.0,2025-09-12 20:00:00+00:00
1757721600000,0.3843,0.3863,0.3636,0.3701,14281157.0,2025-09-13 00:00:00+00:00
1757736000000,0.3702,0.372,0.3592,0.3657,12993236.0,2025-09-13 04:00:00+00:00
1757750400000,0.3658,0.3703,0.3651,0.3694,8009985.0,2025-09-13 08:00:00+00:00
