ts,open,high,low,close,volume,dt
1735819200000,0.40692,0.41481,0.38644,0.3964,23589394.0,2025-01-02 12:00:00+00:00
1735833600000,0.39623,0.41904,0.36316,0.40263,59613215.0,2025-01-02 16:00:00+00:00
1735848000000,0.40263,0.43199,0.381,0.4283,24869276.0,2025-01-02 20:00:00+00:00
1735862400000,0.42857,0.44054,0.38628,0.39406,22326589.0,2025-01-03 00:00:00+00:00
1735876800000,0.39374,0.42428,0.37597,0.40792,27021175.0,2025-01-03 04:00:00+00:00
1735891200000,0.4076,0.44151,0.38814,0.43657,38629164.0,2025-01-03 08:00:00+00:00
1735905600000,0.43653,0.43684,0.39595,0.42639,40228353.0,2025-01-03 12:00:00+00:00
1735920000000,0.42636,0.48896,0.42596,0.47858,101847580.0,2025-01-03 16:00:00+00:00
1735934400000,0.47839,0.47956,0.451,0.46277,37564157.0,2025-01-03 20:00:00+00:00
1735948800000,0.46274,0.46737,0.42697,0.43714,29440058.0,2025-01-04 00:00:00+00:00
1735963200000,0.43714,0.44606,0.42483,0.4367,24427227.0,2025-01-04 04:00:00+00:00
1735977600000,0.4367,0.43682,0.41502,0.42443,19965761.0,2025-01-04 08:00:00+00:00
1735992000000,0.42445,0.43228,0.4111,0.4274,23122620.0,2025-01-04 12:00:00+00:00
1736006400000,0.42741,0.44913,0.4205,0.42307,24157973.0,2025-01-04 16:00:00+00:00
1736020800000,0.42307,0.43966,0.41705,0.4353,15882541.0,2025-01-04 20:00:00+00:00
1736035200000,0.43539,0.45116,0.429,0.43983,17982303.0,2025-01-05 00:00:00+00:00
1736049600000,0.43976,0.45234,0.4121,0.42603,20925483.0,2025-01-05 04:00:00+00:00
1736064000000,0.42598,0.429,0.38533,0.39831,27564785.0,2025-01-05 08:00:00+00:00
1736078400000,0.3983,0.40176,0.37813,0.38572,24466364.0,2025-01-05 12:00:00+00:00
1736092800000,0.38584,0.39623,0.37701,0.38898,22921516.0,2025-01-05 16:00:00+00:00
1736107200000,0.38898,0.39858,0.38528,0.38613,13124414.0,2025-01-05 20:00:00+00:00
1736121600000,0.38616,0.42,0.3775,0.41286,27264843.0,2025-01-06 00:00:00+00:00
1736136000000,0.41288,0.44636,0.41045,0.43283,40073281.0,2025-01-06 04:00:00+00:00
1736150400000,0.43283,0.46555,0.42427,0.45969,90304388.0,2025-01-06 08:00:00+00:00
1736164800000,0.45982,0.5069,0.45881,0.50031,243142451.0,2025-01-06 12:00:00+00:00
