ts,open,high,low,close,volume,dt
1694664000000,6.04,6.051,6.003,6.027,2322768.19,2023-09-14 04:00:00+00:00
1694678400000,6.027,6.06,6.012,6.05,1484978.0,2023-09-14 08:00:00+00:00
1694692800000,6.051,6.125,6.02,6.089,3893719.7,2023-09-14 12:00:00+00:00
1694707200000,6.089,6.168,6.069,6.163,3412039.04,2023-09-14 16:00:00+00:00
1694721600000,6.164,6.21,6.132,6.149,2491062.31,2023-09-14 20:00:00+00:00
1694736000000,6.149,6.236,6.132,6.189,2542429.44,2023-09-15 00:00:00+00:00
1694750400000,6.188,6.213,6.141,6.146,1924696.17,2023-09-15 04:00:00+00:00
1694764800000,6.146,6.174,6.096,6.105,2233470.31,2023-09-15 08:00:00+00:00
1694779200000,6.105,6.211,6.1,6.202,2867305.27,2023-09-15 12:00:00+00:00
1694793600000,6.202,6.246,6.188,6.22,2759462.06,2023-09-15 16:00:00+00:00
1694808000000,6.22,6.373,6.215,6.36,3649099.02,2023-09-15 20:00:00+00:00
1694822400000,6.361,6.42,6.3,6.304,4135789.32,2023-09-16 00:00:00+00:00
1694836800000,6.305,6.325,6.265,6.297,2160341.49,2023-09-16 04:00:00+00:00
1694851200000,6.297,6.302,6.242,6.244,2396489.93,2023-09-16 08:00:00+00:00
1694865600000,6.244,6.249,6.184,6.22,2496214.16,2023-09-16 12:00:00+00:00
1694880000000,6.221,6.243,6.181,6.197,1531076.93,2023-09-16 16:00:00+00:00
1694894400000,6.196,6.289,6.193,6.275,1599462.67,2023-09-16 20:00:00+00:00
1694908800000,6.275,6.277,6.164,6.232,3273793.86,2023-09-17 00:00:00+00:00
1694923200000,6.233,6.254,6.182,6.185,1308387.14,2023-09-17 04:00:00+00:00
1694937600000,6.185,6.223,6.18,6.201,1519412.68,2023-09-17 08:00:00+00:00
1694952000000,6.202,6.217,6.153,6.182,1701269.98,2023-09-17 12:00:00+00:00
1694966400000,6.182,6.188,6.101,6.127,2630535.62,2023-09-17 16:00:00+00:00
1694980800000,6.127,6.148,6.042,6.142,3085057.61,2023-09-17 20:00:00+00:00
1694995200000,6.143,6.623,6.091,6.619,13471330.91,2023-09-18 00:00:00+00:00
1695009600000,6.62,6.663,6.534,6.547,15858972.02,2023-09-18 04:00:00+00:00
1695024000000,6.547,6.823,6.503,6.728,19516156.61,2023-09-18 08:00:00+00:00
1695038400000,6.727,6.839,6.67,6.722,15475524.75,2023-09-18 12:00:00+00:00
1695052800000,6.722,6.727,6.576,6.611,13013349.51,2023-09-18 16:00:00+00:00
1695067200000,6.612,6.657,6.533,6.56,5543113.11,2023-09-18 20:00:00+00:00
1695081600000,6.56,6.776,6.512,6.76,10085302.4,2023-09-19 00:00:00+00:00
1695096000000,6.76,6.929,6.675,6.689,12561093.06,2023-09-19 04:00:00+00:00
1695110400000,6.689,6.809,6.68,6.738,7708104.05,2023-09-19 08:00:00+00:00
1695124800000,6.737,6.888,6.707,6.868,11243656.33,2023-09-19 12:00:00+00:00
1695139200000,6.867,6.908,6.785,6.832,5221724.72,2023-09-19 16:00:00+00:00
1695153600000,6.832,6.967,6.778,6.841,4947925.4,2023-09-19 20:00:00+00:00
1695168000000,6.84,6.993,6.807,6.925,8230915.83,2023-09-20 00:00:00+00:00
1695182400000,6.924,6.954,6.773,6.8,7050342.89,2023-09-20 04:00:00+00:00
1695196800000,6.801,6.876,6.752,6.826,7281451.98,2023-09-20 08:00:00+00:00
1695211200000,6.827,6.93,6.738,6.913,9420800.13,2023-09-20 12:00:00+00:00
1695225600000,6.913,7.043,6.789,6.872,11251616.41,2023-09-20 16:00:00+00:00
1695240000000,6.872,6.968,6.832,6.902,3861459.08,2023-09-20 20:00:00+00:00
1695254400000,6.903,6.945,6.809,6.872,4929736.49,2023-09-21 00:00:00+00:00
1695268800000,6.873,6.875,6.778,6.794,3741552.27,2023-09-21 04:00:00+00:00
1695283200000,6.793,6.824,6.675,6.704,8174181.45,2023-09-21 08:00:00+00:00
1695297600000,6.704,6.783,6.603,6.744,8404379.13,2023-09-21 12:00:00+00:00
1695312000000,6.743,6.764,6.704,6.716,3274997.63,2023-09-21 16:00:00+00:00
1695326400000,6.717,6.73,6.658,6.662,2503918.15,2023-09-21 20:00:00+00:00
1695340800000,6.663,6.72,6.585,6.694,4806485.81,2023-09-22 00:00:00+00:00
1695355200000,6.695,6.715,6.637,6.691,2945309.79,2023-09-22 04:00:00+00:00
1695369600000,6.691,6.786,6.687,6.781,3926907.57,2023-09-22 08:00:00+00:00
1695384000000,6.781,6.795,6.708,6.764,3823009.07,2023-09-22 12:00:00+00:00
1695398400000,6.763,6.97,6.725,6.873,7480923.45,2023-09-22 16:00:00+00:00
1695412800000,6.873,6.965,6.859,6.953,4070202.82,2023-09-22 20:00:00+00:00
1695427200000,6.954,7.194,6.939,6.99,10005154.89,2023-09-23 00:00:00+00:00
1695441600000,6.99,7.067,6.939,7.034,5125654.78,2023-09-23 04:00:00+00:00
1695456000000,7.034,7.045,6.959,6.996,4353116.9,2023-09-23 08:00:00+00:00
1695470400000,6.997,7.056,6.921,6.931,6481535.43,2023-09-23 12:00:00+00:00
1695484800000,6.932,7.229,6.912,7.178,15878739.99,2023-09-23 16:00:00+00:00
1695499200000,7.177,7.223,7.126,7.183,6889047.4,2023-09-23 20:00:00+00:00
1695513600000,7.183,7.249,7.126,7.161,8610556.58,2023-09-24 00:00:00+00:00
1695528000000,7.16,7.211,7.102,7.157,5068948.16,2023-09-24 04:00:00+00:00
1695542400000,7.158,7.174,7.07,7.09,4648940.88,2023-09-24 08:00:00+00:00
1695556800000,7.091,7.19,7.075,7.096,5787301.55,2023-09-24 12:00:00+00:00
1695571200000,7.095,7.177,7.03,7.075,6614163.36,2023-09-24 16:00:00+00:00
1695585600000,7.074,7.093,6.941,6.969,4595615.99,2023-09-24 20:00:00+00:00
1695600000000,6.968,7.268,6.903,7.159,12668913.98,2023-09-25 00:00:00+00:00
1695614400000,7.159,7.301,7.15,7.272,8370457.05,2023-09-25 04:00:00+00:00
1695628800000,7.273,7.32,7.201,7.252,7809909.64,2023-09-25 08:00:00+00:00
1695643200000,7.252,7.399,7.219,7.387,13382327.29,2023-09-25 12:00:00+00:00
1695657600000,7.387,7.512,7.37,7.453,14295711.01,2023-09-25 16:00:00+00:00
1695672000000,7.452,7.5,7.42,7.486,6119589.27,2023-09-25 20:00:00+00:00
1695686400000,7.486,7.574,7.403,7.52,11569605.26,2023-09-26 00:00:00+00:00
1695700800000,7.519,7.528,7.432,7.434,5715598.33,2023-09-26 04:00:00+00:00
1695715200000,7.434,7.48,7.362,7.424,8054339.38,2023-09-26 08:00:00+00:00
1695729600000,7.424,7.426,7.294,7.329,8672109.35,2023-09-26 12:00:00+00:00
1695744000000,7.328,7.414,7.243,7.391,7944234.19,2023-09-26 16:00:00+00:00
1695758400000,7.39,7.475,7.273,7.353,9481738.35,2023-09-26 20:00:00+00:00
1695772800000,7.354,7.414,7.266,7.359,5366127.83,2023-09-27 00:00:00+00:00
1695787200000,7.358,7.389,7.316,7.367,4052916.29,2023-09-27 04:00:00+00:00
1695801600000,7.367,7.686,7.346,7.63,13739660.65,2023-09-27 08:00:00+00:00
1695816000000,7.629,7.876,7.48,7.585,28296112.08,2023-09-27 12:00:00+00:00
1695830400000,7.585,7.692,7.482,7.654,11443619.01,2023-09-27 16:00:00+00:00
1695844800000,7.655,7.685,7.565,7.638,5899264.76,2023-09-27 20:00:00+00:00
1695859200000,7.637,7.759,7.565,7.653,8958490.23,2023-09-28 00:00:00+00:00
1695873600000,7.654,7.826,7.569,7.745,8545993.23,2023-09-28 04:00:00+00:00
1695888000000,7.744,7.866,7.725,7.771,12198774.07,2023-09-28 08:00:00+00:00
1695902400000,7.771,7.919,7.679,7.878,14369640.46,2023-09-28 12:00:00+00:00
1695916800000,7.878,8.068,7.766,7.951,14937257.98,2023-09-28 16:00:00+00:00
1695931200000,7.95,7.954,7.766,7.805,6181342.33,2023-09-28 20:00:00+00:00
1695945600000,7.804,7.839,7.677,7.743,5609711.16,2023-09-29 00:00:00+00:00
1695960000000,7.743,7.822,7.712,7.779,4936616.97,2023-09-29 04:00:00+00:00
1695974400000,7.779,7.784,7.686,7.695,4556126.57,2023-09-29 08:00:00+00:00
1695988800000,7.695,7.906,7.667,7.814,11211261.29,2023-09-29 12:00:00+00:00
1696003200000,7.814,8.048,7.751,8.041,11976064.72,2023-09-29 16:00:00+00:00
1696017600000,8.042,8.078,7.926,7.941,6652383.72,2023-09-29 20:00:00+00:00
1696032000000,7.941,8.046,7.931,8.018,6044409.13,2023-09-30 00:00:00+00:00
1696046400000,8.018,8.154,8.0,8.075,9356864.24,2023-09-30 04:00:00+00:00
1696060800000,8.076,8.267,8.006,8.192,16627764.6,2023-09-30 08:00:00+00:00
1696075200000,8.191,8.235,8.121,8.218,11245465.01,2023-09-30 12:00:00+00:00
1696089600000,8.218,8.239,8.081,8.177,7736767.82,2023-09-30 16:00:00+00:00
1696104000000,8.177,8.206,8.101,8.185,4092313.44,2023-09-30 20:00:00+00:00
1696118400000,8.184,8.256,8.107,8.159,5998515.13,2023-10-01 00:00:00+00:00
1696132800000,8.159,8.167,8.033,8.057,5276962.08,2023-10-01 04:00:00+00:00
1696147200000,8.058,8.223,8.035,8.12,8032051.84,2023-10-01 08:00:00+00:00
1696161600000,8.121,8.13,7.952,8.01,9798425.66,2023-10-01 12:00:00+00:00
1696176000000,8.011,8.013,7.772,7.837,12588480.44,2023-10-01 16:00:00+00:00
1696190400000,7.838,8.146,7.779,8.049,18301584.83,2023-10-01 20:00:00+00:00
1696204800000,8.049,8.096,7.852,7.877,9724499.66,2023-10-02 00:00:00+00:00
1696219200000,7.876,8.099,7.84,8.031,12237434.56,2023-10-02 04:00:00+00:00
1696233600000,8.032,8.077,7.802,7.886,12910686.46,2023-10-02 08:00:00+00:00
1696248000000,7.885,7.951,7.607,7.666,19411050.34,2023-10-02 12:00:00+00:00
1696262400000,7.667,7.725,7.41,7.603,17034906.89,2023-10-02 16:00:00+00:00
1696276800000,7.603,7.607,7.345,7.464,9393600.44,2023-10-02 20:00:00+00:00
1696291200000,7.465,7.586,7.408,7.55,6748658.89,2023-10-03 00:00:00+00:00
1696305600000,7.551,7.741,7.495,7.626,10450485.01,2023-10-03 04:00:00+00:00
1696320000000,7.626,7.733,7.507,7.537,10355125.53,2023-10-03 08:00:00+00:00
1696334400000,7.538,7.724,7.39,7.427,16206682.33,2023-10-03 12:00:00+00:00
1696348800000,7.426,7.54,7.38,7.403,9172585.86,2023-10-03 16:00:00+00:00
1696363200000,7.403,7.503,7.355,7.404,7203620.9,2023-10-03 20:00:00+00:00
1696377600000,7.403,7.543,7.158,7.478,14986205.79,2023-10-04 00:00:00+00:00
1696392000000,7.479,7.635,7.45,7.591,9759028.73,2023-10-04 04:00:00+00:00
1696406400000,7.59,7.611,7.516,7.539,6573456.72,2023-10-04 08:00:00+00:00
1696420800000,7.54,7.663,7.459,7.632,13026132.88,2023-10-04 12:00:00+00:00
1696435200000,7.632,7.779,7.566,7.609,16296964.77,2023-10-04 16:00:00+00:00
1696449600000,7.609,7.739,7.582,7.667,4942244.66,2023-10-04 20:00:00+00:00
1696464000000,7.667,7.692,7.587,7.611,6291155.53,2023-10-05 00:00:00+00:00
1696478400000,7.611,7.76,7.597,7.711,6550711.69,2023-10-05 04:00:00+00:00
1696492800000,7.711,7.788,7.664,7.674,7582977.15,2023-10-05 08:00:00+00:00
1696507200000,7.674,7.7,7.481,7.53,12676806.98,2023-10-05 12:00:00+00:00
1696521600000,7.53,7.56,7.471,7.504,5903845.02,2023-10-05 16:00:00+00:00
1696536000000,7.505,7.566,7.448,7.463,3951690.02,2023-10-05 20:00:00+00:00
1696550400000,7.464,7.582,7.454,7.525,3881856.5,2023-10-06 00:00:00+00:00
1696564800000,7.525,7.578,7.493,7.571,3258010.38,2023-10-06 04:00:00+00:00
1696579200000,7.571,7.611,7.538,7.556,4365858.87,2023-10-06 08:00:00+00:00
1696593600000,7.556,7.701,7.426,7.654,11312065.02,2023-10-06 12:00:00+00:00
1696608000000,7.654,7.719,7.617,7.663,5547191.57,2023-10-06 16:00:00+00:00
1696622400000,7.663,7.76,7.633,7.635,3816961.04,2023-10-06 20:00:00+00:00
1696636800000,7.635,7.679,7.59,7.598,3649081.33,2023-10-07 00:00:00+00:00
1696651200000,7.598,7.641,7.556,7.596,3691743.86,2023-10-07 04:00:00+00:00
1696665600000,7.596,7.642,7.563,7.58,3264049.91,2023-10-07 08:00:00+00:00
1696680000000,7.579,7.615,7.551,7.558,2402707.69,2023-10-07 12:00:00+00:00
1696694400000,7.558,7.563,7.466,7.49,3664529.88,2023-10-07 16:00:00+00:00
1696708800000,7.489,7.552,7.483,7.521,1869679.63,2023-10-07 20:00:00+00:00
1696723200000,7.522,7.616,7.497,7.615,3410264.52,2023-10-08 00:00:00+00:00
1696737600000,7.616,7.668,7.587,7.648,5196446.5,2023-10-08 04:00:00+00:00
1696752000000,7.647,7.707,7.533,7.564,6667544.8,2023-10-08 08:00:00+00:00
1696766400000,7.563,7.693,7.554,7.662,4910334.96,2023-10-08 12:00:00+00:00
1696780800000,7.662,7.735,7.635,7.723,3694194.84,2023-10-08 16:00:00+00:00
