ts,open,high,low,close,volume,dt
1706184000000,1.336,1.336,1.171,1.185,2955451.0,2024-01-25 12:00:00+00:00
1706198400000,1.187,1.248,1.162,1.214,4379122.0,2024-01-25 16:00:00+00:00
1706212800000,1.215,1.32,1.168,1.278,4451767.0,2024-01-25 20:00:00+00:00
1706227200000,1.278,1.36,1.214,1.258,8027584.0,2024-01-26 00:00:00+00:00
1706241600000,1.258,1.295,1.216,1.228,3627885.0,2024-01-26 04:00:00+00:00
1706256000000,1.228,1.263,1.213,1.237,3795784.0,2024-01-26 08:00:00+00:00
1706270400000,1.236,1.243,1.216,1.232,2663572.0,2024-01-26 12:00:00+00:00
1706284800000,1.232,1.247,1.182,1.209,4054532.0,2024-01-26 16:00:00+00:00
1706299200000,1.209,1.25,1.195,1.246,2752998.0,2024-01-26 20:00:00+00:00
1706313600000,1.246,1.247,1.202,1.21,2952983.0,2024-01-27 00:00:00+00:00
1706328000000,1.21,1.217,1.172,1.193,2910898.0,2024-01-27 04:00:00+00:00
1706342400000,1.193,1.207,1.182,1.194,1440794.0,2024-01-27 08:00:00+00:00
1706356800000,1.196,1.203,1.182,1.195,1068952.0,2024-01-27 12:00:00+00:00
1706371200000,1.196,1.22,1.188,1.207,1478468.0,2024-01-27 16:00:00+00:00
1706385600000,1.208,1.22,1.204,1.215,796526.0,2024-01-27 20:00:00+00:00
1706400000000,1.217,1.219,1.19,1.212,961571.0,2024-01-28 00:00:00+00:00
1706414400000,1.213,1.22,1.192,1.196,866261.0,2024-01-28 04:00:00+00:00
1706428800000,1.196,1.233,1.192,1.233,1082886.0,2024-01-28 08:00:00+00:00
1706443200000,1.232,1.443,1.231,1.344,55796275.0,2024-01-28 12:00:00+00:00
1706457600000,1.344,1.4,1.338,1.36,16466193.0,2024-01-28 16:00:00+00:00
1706472000000,1.362,1.432,1.355,1.412,22848866.0,2024-01-28 20:00:00+00:00
1706486400000,1.412,1.466,1.375,1.429,29308817.0,2024-01-29 00:00:00+00:00
1706500800000,1.429,1.433,1.346,1.363,21450145.0,2024-01-29 04:00:00+00:00
1706515200000,1.362,1.479,1.329,1.436,33116884.0,2024-01-29 08:00:00+00:00
1706529600000,1.437,1.488,1.425,1.471,25296869.0,2024-01-29 12:00:00+00:00
1706544000000,1.471,1.53,1.457,1.466,17843544.0,2024-01-29 16:00:00+00:00
1706558400000,1.466,1.484,1.458,1.463,3190849.0,2024-01-29 20:00:00+00:00
1706572800000,1.463,1.477,1.416,1.429,10499194.0,2024-01-30 00:00:00+00:00
1706587200000,1.428,1.515,1.416,1.497,11724562.0,2024-01-30 04:00:00+00:00
1706601600000,1.498,1.513,1.447,1.461,6719312.0,2024-01-30 08:00:00+00:00
1706616000000,1.461,1.466,1.421,1.429,4863300.0,2024-01-30 12:00:00+00:00
1706630400000,1.429,1.455,1.414,1.434,3080239.0,2024-01-30 16:00:00+00:00
1706644800000,1.433,1.434,1.385,1.4,3488798.0,2024-01-30 20:00:00+00:00
1706659200000,1.4,1.49,1.348,1.36,13474042.0,2024-01-31 00:00:00+00:00
1706673600000,1.36,1.377,1.351,1.362,3404045.0,2024-01-31 04:00:00+00:00
1706688000000,1.361,1.37,1.327,1.348,4042205.0,2024-01-31 08:00:00+00:00
1706702400000,1.348,1.352,1.31,1.346,3694284.0,2024-01-31 12:00:00+00:00
1706716800000,1.347,1.359,1.335,1.348,1592086.0,2024-01-31 16:00:00+00:00
1706731200000,1.348,1.367,1.32,1.356,2941580.0,2024-01-31 20:00:00+00:00
1706745600000,1.356,1.39,1.289,1.308,6694869.0,2024-02-01 00:00:00+00:00
1706760000000,1.307,1.318,1.283,1.309,1422251.0,2024-02-01 04:00:00+00:00
1706774400000,1.308,1.327,1.298,1.304,1262882.0,2024-02-01 08:00:00+00:00
1706788800000,1.304,1.33,1.284,1.318,2006026.0,2024-02-01 12:00:00+00:00
1706803200000,1.318,1.34,1.309,1.339,1139789.0,2024-02-01 16:00:00+00:00
1706817600000,1.34,1.346,1.328,1.342,1121419.0,2024-02-01 20:00:00+00:00
1706832000000,1.343,1.363,1.314,1.338,2057346.0,2024-02-02 00:00:00+00:00
1706846400000,1.338,1.398,1.329,1.372,3667858.0,2024-02-02 04:00:00+00:00
1706860800000,1.372,1.381,1.341,1.366,1861881.0,2024-02-02 08:00:00+00:00
1706875200000,1.365,1.39,1.339,1.383,2432996.0,2024-02-02 12:00:00+00:00
1706889600000,1.383,1.397,1.356,1.372,1436042.0,2024-02-02 16:00:00+00:00
1706904000000,1.373,1.393,1.365,1.382,1006473.0,2024-02-02 20:00:00+00:00
1706918400000,1.382,1.399,1.346,1.359,1871738.0,2024-02-03 00:00:00+00:00
1706932800000,1.359,1.373,1.343,1.348,856989.0,2024-02-03 04:00:00+00:00
1706947200000,1.349,1.355,1.319,1.326,1539807.0,2024-02-03 08:00:00+00:00
1706961600000,1.327,1.35,1.326,1.342,1669535.0,2024-02-03 12:00:00+00:00
1706976000000,1.343,1.345,1.331,1.334,985888.0,2024-02-03 16:00:00+00:00
1706990400000,1.334,1.344,1.329,1.334,474051.0,2024-02-03 20:00:00+00:00
1707004800000,1.335,1.379,1.335,1.347,3228197.0,2024-02-04 00:00:00+00:00
1707019200000,1.348,1.383,1.324,1.369,2644456.0,2024-02-04 04:00:00+00:00
1707033600000,1.369,1.39,1.355,1.388,2842210.0,2024-02-04 08:00:00+00:00
1707048000000,1.389,1.413,1.383,1.385,4031617.0,2024-02-04 12:00:00+00:00
1707062400000,1.386,1.388,1.364,1.377,1476061.0,2024-02-04 16:00:00+00:00
1707076800000,1.377,1.396,1.354,1.367,2340966.0,2024-02-04 20:00:00+00:00
1707091200000,1.367,1.398,1.32,1.344,2676019.0,2024-02-05 00:00:00+00:00
1707105600000,1.344,1.3685,1.333,1.3676,1312220.0,2024-02-05 04:00:00+00:00
1707120000000,1.367,1.369,1.351,1.3635,1480685.0,2024-02-05 08:00:00+00:00
1707134400000,1.3635,1.402,1.3596,1.3641,3258324.0,2024-02-05 12:00:00+00:00
1707148800000,1.3646,1.4363,1.347,1.4043,9486993.0,2024-02-05 16:00:00+00:00
1707163200000,1.4042,1.41,1.376,1.3961,3308278.0,2024-02-05 20:00:00+00:00
1707177600000,1.3961,1.6493,1.394,1.5466,42629802.0,2024-02-06 00:00:00+00:00
1707192000000,1.5466,1.5933,1.476,1.4978,45428301.0,2024-02-06 04:00:00+00:00
1707206400000,1.4975,1.4979,1.436,1.4592,31545766.0,2024-02-06 08:00:00+00:00
1707220800000,1.4592,1.4667,1.4067,1.4483,12970591.0,2024-02-06 12:00:00+00:00
1707235200000,1.4483,1.4699,1.4353,1.4627,5207621.0,2024-02-06 16:00:00+00:00
1707249600000,1.4624,1.4811,1.4562,1.4787,4037016.0,2024-02-06 20:00:00+00:00
1707264000000,1.4789,1.4794,1.4197,1.424,5882224.0,2024-02-07 00:00:00+00:00
1707278400000,1.424,1.4278,1.3619,1.3665,7889362.0,2024-02-07 04:00:00+00:00
1707292800000,1.3669,1.377,1.3457,1.368,3976975.0,2024-02-07 08:00:00+00:00
1707307200000,1.3681,1.3782,1.3592,1.3623,2555151.0,2024-02-07 12:00:00+00:00
1707321600000,1.3626,1.3858,1.361,1.377,2114118.0,2024-02-07 16:00:00+00:00
1707336000000,1.377,1.4115,1.377,1.4081,4399396.0,2024-02-07 20:00:00+00:00
1707350400000,1.4081,1.4122,1.3757,1.3824,2570290.0,2024-02-08 00:00:00+00:00
1707364800000,1.3825,1.3869,1.3353,1.3514,2400025.0,2024-02-08 04:00:00+00:00
1707379200000,1.3514,1.3645,1.3454,1.3491,1581420.0,2024-02-08 08:00:00+00:00
1707393600000,1.3491,1.3777,1.3422,1.3716,2455485.0,2024-02-08 12:00:00+00:00
1707408000000,1.3714,1.3715,1.3525,1.3539,1016032.0,2024-02-08 16:00:00+00:00
1707422400000,1.3541,1.3718,1.3528,1.3642,913774.0,2024-02-08 20:00:00+00:00
1707436800000,1.3642,1.3769,1.3476,1.3681,2128822.0,2024-02-09 00:00:00+00:00
1707451200000,1.368,1.38,1.3612,1.3673,793858.0,2024-02-09 04:00:00+00:00
1707465600000,1.3674,1.3747,1.3632,1.3719,873892.0,2024-02-09 08:00:00+00:00
1707480000000,1.3721,1.3822,1.3601,1.3756,2152098.0,2024-02-09 12:00:00+00:00
1707494400000,1.3756,1.381,1.3679,1.3768,770551.0,2024-02-09 16:00:00+00:00
1707508800000,1.377,1.3956,1.377,1.3938,858912.0,2024-02-09 20:00:00+00:00
1707523200000,1.3937,1.407,1.3732,1.3914,1636494.0,2024-02-10 00:00:00+00:00
1707537600000,1.3916,1.3928,1.3739,1.3742,685814.0,2024-02-10 04:00:00+00:00
1707552000000,1.3742,1.3793,1.3514,1.368,1389552.0,2024-02-10 08:00:00+00:00
1707566400000,1.368,1.3739,1.3601,1.3735,572950.0,2024-02-10 12:00:00+00:00
1707580800000,1.3735,1.377,1.3682,1.3762,333230.0,2024-02-10 16:00:00+00:00
1707595200000,1.3763,1.3822,1.3697,1.3731,476518.0,2024-02-10 20:00:00+00:00
1707609600000,1.3732,1.3888,1.3702,1.3773,1090279.0,2024-02-11 00:00:00+00:00
1707624000000,1.3775,1.3823,1.3747,1.3818,544974.0,2024-02-11 04:00:00+00:00
1707638400000,1.3817,1.3842,1.3713,1.3811,528400.0,2024-02-11 08:00:00+00:00
1707652800000,1.3815,1.3815,1.3646,1.3737,831026.0,2024-02-11 12:00:00+00:00
1707667200000,1.3737,1.3786,1.3652,1.3673,543222.0,2024-02-11 16:00:00+00:00
1707681600000,1.3671,1.3732,1.3554,1.3681,694901.0,2024-02-11 20:00:00+00:00
1707696000000,1.3678,1.3685,1.3177,1.3349,1875353.0,2024-02-12 00:00:00+00:00
1707710400000,1.335,1.3363,1.3212,1.3346,496214.0,2024-02-12 04:00:00+00:00
1707724800000,1.3347,1.3356,1.309,1.3215,871212.0,2024-02-12 08:00:00+00:00
1707739200000,1.3217,1.3544,1.3199,1.3481,848111.0,2024-02-12 12:00:00+00:00
1707753600000,1.3485,1.369,1.3393,1.3564,1244414.0,2024-02-12 16:00:00+00:00
1707768000000,1.3565,1.3826,1.3565,1.3699,922552.0,2024-02-12 20:00:00+00:00
1707782400000,1.3701,1.383,1.3442,1.3505,1583819.0,2024-02-13 00:00:00+00:00
1707796800000,1.3507,1.3635,1.3504,1.3602,514997.0,2024-02-13 04:00:00+00:00
