ts,open,high,low,close,volume,dt
1788249600000,0.07384,0.08895,0.06993,0.08261,410060829.0,2026-09-01 08:00:00+00:00
1788264000000,0.08262,0.08485,0.06511,0.06692,734663398.0,2026-09-01 12:00:00+00:00
1788278400000,0.06691,0.06888,0.06075,0.06609,283698675.0,2026-09-01 16:00:00+00:00
1788292800000,0.06609,0.0725,0.06403,0.06654,144254533.0,2026-09-01 20:00:00+00:00
1788307200000,0.06655,0.0755,0.0622,0.06823,199229087.0,2026-09-02 00:00:00+00:00
1788321600000,0.06824,0.07847,0.06745,0.0729,214037519.0,2026-09-02 04:00:00+00:00
1788336000000,0.0729,0.07535,0.06046,0.06247,219321346.0,2026-09-02 08:00:00+00:00
1788350400000,0.0625,0.06387,0.0521,0.05569,494904529.0,2026-09-02 12:00:00+00:00
1788364800000,0.05574,0.0638,0.05556,0.06163,192887828.0,2026-09-02 16:00:00+00:00
1788379200000,0.06167,0.06696,0.06086,0.0634,114378294.0,2026-09-02 20:00:00+00:00
1788393600000,0.06338,0.07745,0.05961,0.07452,190765238.0,2026-09-03 00:00:00+00:00
1788408000000,0.07459,0.11086,0.07268,0.10845,883153615.0,2026-09-03 04:00:00+00:00
1788422400000,0.10846,0.11764,0.0924,0.10441,1195152981.0,2026-09-03 08:00:00+00:00
1788436800000,0.10444,0.12305,0.10006,0.11607,1231181273.0,2026-09-03 12:00:00+00:00
1788451200000,0.11607,0.1203,0.09564,0.10927,859814085.0,2026-09-03 16:00:00+00:00
1788465600000,0.1093,0.13181,0.10358,0.12876,576448705.0,2026-09-03 20:00:00+00:00
1788480000000,0.12879,0.14238,0.117,0.13453,806965351.0,2026-09-04 00:00:00+00:00
1788494400000,0.13456,0.136,0.10713,0.10971,596566255.0,2026-09-04 04:00:00+00:00
1788508800000,0.10975,0.19688,0.10834,0.18565,1345966231.0,2026-09-04 08:00:00+00:00
1788523200000,0.18564,0.18977,0.16044,0.17206,1140069678.0,2026-09-04 12:00:00+00:00
1788537600000,0.17205,0.21449,0.16803,0.2034,718877575.0,2026-09-04 16:00:00+00:00
1788552000000,0.20345,0.20666,0.18128,0.19339,438498602.0,2026-09-04 20:00:00+00:00
1788566400000,0.19346,0.19753,0.17025,0.17756,408448646.0,2026-09-05 00:00:00+00:00
1788580800000,0.17756,0.19398,0.17225,0.182,309947334.0,2026-09-05 04:00:00+00:00
1788595200000,0.18199,0.24772,0.18003,0.23544,853673962.0,2026-09-05 08:00:00+00:00
1788609600000,0.23543,0.254,0.2166,0.23709,615805611.0,2026-09-05 12:00:00+00:00
1788624000000,0.23709,0.26971,0.2253,0.23478,503207652.0,2026-09-05 16:00:00+00:00
1788638400000,0.2348,0.25516,0.2274,0.24101,165092998.0,2026-09-05 20:00:00+00:00
1788652800000,0.24106,0.25437,0.21777,0.22594,288028268.0,2026-09-06 00:00:00+00:00
1788667200000,0.22594,0.234,0.202,0.20846,335461672.0,2026-09-06 04:00:00+00:00
1788681600000,0.20844,0.21934,0.186,0.20138,335335480.0,2026-09-06 08:00:00+00:00
1788696000000,0.20135,0.20299,0.17712,0.18249,380708073.0,2026-09-06 12:00:00+00:00
1788710400000,0.1825,0.1946,0.1786,0.18539,192044715.0,2026-09-06 16:00:00+00:00
1788724800000,0.18537,0.19704,0.18088,0.19616,143832176.0,2026-09-06 20:00:00+00:00
1788739200000,0.19623,0.19686,0.1555,0.16455,366147825.0,2026-09-07 00:00:00+00:00
1788753600000,0.1645,0.17374,0.1502,0.15735,245350362.0,2026-09-07 04:00:00+00:00
1788768000000,0.15732,0.1748,0.1557,0.16774,240333638.0,2026-09-07 08:00:00+00:00
1788782400000,0.16775,0.173,0.1469,0.15179,279486709.0,2026-09-07 12:00:00+00:00
