ts,open,high,low,close,volume,dt
1694664000000,1.092,1.097,1.083,1.092,5684263.0,2023-09-14 04:00:00+00:00
1694678400000,1.092,1.098,1.089,1.096,2617162.0,2023-09-14 08:00:00+00:00
1694692800000,1.096,1.114,1.09,1.107,8874033.0,2023-09-14 12:00:00+00:00
1694707200000,1.108,1.119,1.103,1.111,3999914.0,2023-09-14 16:00:00+00:00
1694721600000,1.111,1.113,1.1,1.107,2668911.0,2023-09-14 20:00:00+00:00
1694736000000,1.106,1.123,1.102,1.115,5087674.0,2023-09-15 00:00:00+00:00
1694750400000,1.114,1.119,1.098,1.1,3596266.0,2023-09-15 04:00:00+00:00
1694764800000,1.101,1.118,1.095,1.109,7878787.0,2023-09-15 08:00:00+00:00
1694779200000,1.11,1.119,1.101,1.111,5980051.0,2023-09-15 12:00:00+00:00
1694793600000,1.11,1.115,1.105,1.112,2926785.0,2023-09-15 16:00:00+00:00
1694808000000,1.111,1.132,1.11,1.129,5031169.0,2023-09-15 20:00:00+00:00
1694822400000,1.129,1.142,1.126,1.131,6171346.0,2023-09-16 00:00:00+00:00
1694836800000,1.131,1.137,1.123,1.129,4229290.0,2023-09-16 04:00:00+00:00
1694851200000,1.129,1.13,1.118,1.127,3796520.0,2023-09-16 08:00:00+00:00
1694865600000,1.127,1.127,1.116,1.126,2810843.0,2023-09-16 12:00:00+00:00
1694880000000,1.125,1.13,1.115,1.119,2653206.0,2023-09-16 16:00:00+00:00
1694894400000,1.118,1.131,1.118,1.127,2118102.0,2023-09-16 20:00:00+00:00
1694908800000,1.128,1.128,1.1,1.114,9298394.0,2023-09-17 00:00:00+00:00
1694923200000,1.115,1.116,1.106,1.106,2454652.0,2023-09-17 04:00:00+00:00
1694937600000,1.106,1.118,1.104,1.114,2444765.0,2023-09-17 08:00:00+00:00
1694952000000,1.114,1.117,1.107,1.11,2337835.0,2023-09-17 12:00:00+00:00
1694966400000,1.111,1.111,1.092,1.101,4662385.0,2023-09-17 16:00:00+00:00
1694980800000,1.1,1.101,1.071,1.094,6908872.0,2023-09-17 20:00:00+00:00
1694995200000,1.095,1.106,1.078,1.104,7477128.0,2023-09-18 00:00:00+00:00
1695009600000,1.105,1.113,1.095,1.105,4853767.0,2023-09-18 04:00:00+00:00
1695024000000,1.106,1.124,1.104,1.116,8527858.0,2023-09-18 08:00:00+00:00
1695038400000,1.117,1.127,1.113,1.119,6636904.0,2023-09-18 12:00:00+00:00
1695052800000,1.119,1.121,1.098,1.104,8515172.0,2023-09-18 16:00:00+00:00
1695067200000,1.105,1.109,1.096,1.098,3022474.0,2023-09-18 20:00:00+00:00
1695081600000,1.098,1.107,1.088,1.107,5802727.0,2023-09-19 00:00:00+00:00
1695096000000,1.106,1.113,1.104,1.109,2469185.0,2023-09-19 04:00:00+00:00
1695110400000,1.109,1.132,1.109,1.118,7861126.0,2023-09-19 08:00:00+00:00
1695124800000,1.118,1.128,1.109,1.124,9059154.0,2023-09-19 12:00:00+00:00
1695139200000,1.125,1.131,1.117,1.128,3858885.0,2023-09-19 16:00:00+00:00
1695153600000,1.128,1.128,1.115,1.121,3417788.0,2023-09-19 20:00:00+00:00
1695168000000,1.121,1.132,1.115,1.119,5529269.0,2023-09-20 00:00:00+00:00
1695182400000,1.118,1.12,1.103,1.113,4993171.0,2023-09-20 04:00:00+00:00
1695196800000,1.113,1.12,1.104,1.11,5658506.0,2023-09-20 08:00:00+00:00
1695211200000,1.11,1.112,1.098,1.109,6294308.0,2023-09-20 12:00:00+00:00
1695225600000,1.109,1.126,1.093,1.106,8824613.0,2023-09-20 16:00:00+00:00
1695240000000,1.107,1.123,1.105,1.12,2963523.0,2023-09-20 20:00:00+00:00
1695254400000,1.119,1.152,1.119,1.141,14488314.0,2023-09-21 00:00:00+00:00
1695268800000,1.141,1.15,1.124,1.13,6839225.0,2023-09-21 04:00:00+00:00
1695283200000,1.129,1.133,1.1,1.109,10851876.0,2023-09-21 08:00:00+00:00
1695297600000,1.109,1.134,1.107,1.127,18631776.0,2023-09-21 12:00:00+00:00
1695312000000,1.126,1.132,1.122,1.125,4661398.0,2023-09-21 16:00:00+00:00
1695326400000,1.125,1.129,1.115,1.125,4091897.0,2023-09-21 20:00:00+00:00
1695340800000,1.124,1.133,1.111,1.126,7170480.0,2023-09-22 00:00:00+00:00
1695355200000,1.126,1.127,1.114,1.123,3871952.0,2023-09-22 04:00:00+00:00
1695369600000,1.123,1.125,1.109,1.113,5066366.0,2023-09-22 08:00:00+00:00
1695384000000,1.113,1.116,1.107,1.109,5663687.0,2023-09-22 12:00:00+00:00
1695398400000,1.108,1.117,1.101,1.114,4734064.0,2023-09-22 16:00:00+00:00
1695412800000,1.113,1.122,1.104,1.121,3029026.0,2023-09-22 20:00:00+00:00
1695427200000,1.122,1.125,1.108,1.111,5235728.0,2023-09-23 00:00:00+00:00
1695441600000,1.111,1.12,1.109,1.117,2510386.0,2023-09-23 04:00:00+00:00
1695456000000,1.117,1.12,1.109,1.114,1914535.0,2023-09-23 08:00:00+00:00
1695470400000,1.113,1.115,1.106,1.109,2638617.0,2023-09-23 12:00:00+00:00
1695484800000,1.109,1.116,1.107,1.116,1852382.0,2023-09-23 16:00:00+00:00
