ts,open,high,low,close,volume,dt
1788667200000,0.914,0.9419,0.8656,0.9283,10058902.0,2026-09-06 04:00:00+00:00
1788681600000,0.9283,0.9599,0.8932,0.9224,31315552.0,2026-09-06 08:00:00+00:00
1788696000000,0.9222,0.95,0.7896,0.8384,58002997.0,2026-09-06 12:00:00+00:00
1788710400000,0.8389,0.8637,0.7732,0.8308,40683888.0,2026-09-06 16:00:00+00:00
1788724800000,0.8304,0.875,0.8016,0.8504,24565029.0,2026-09-06 20:00:00+00:00
1788739200000,0.8503,0.8521,0.7272,0.7351,37980067.0,2026-09-07 00:00:00+00:00
1788753600000,0.735,0.7935,0.7316,0.7554,34268754.0,2026-09-07 04:00:00+00:00
1788768000000,0.7555,0.8549,0.7527,0.7918,54803468.0,2026-09-07 08:00:00+00:00
1788782400000,0.7918,0.8227,0.72,0.7311,54684222.0,2026-09-07 12:00:00+00:00
1788796800000,0.7308,0.7536,0.6761,0.7221,64392012.0,2026-09-07 16:00:00+00:00
1788811200000,0.722,0.7311,0.6836,0.7218,21783587.0,2026-09-07 20:00:00+00:00
1788825600000,0.7217,0.7606,0.6724,0.7133,35439678.0,2026-09-08 00:00:00+00:00
1788840000000,0.713,0.743,0.65,0.7055,39905527.0,2026-09-08 04:00:00+00:00
1788854400000,0.7055,0.7413,0.6801,0.7328,39601859.0,2026-09-08 08:00:00+00:00
1788868800000,0.733,0.8318,0.7274,0.8241,61988781.0,2026-09-08 12:00:00+00:00
1788883200000,0.8243,0.8899,0.8017,0.8349,70512637.0,2026-09-08 16:00:00+00:00
1788897600000,0.8349,0.837,0.7671,0.7887,25971794.0,2026-09-08 20:00:00+00:00
1788912000000,0.7887,0.7985,0.7379,0.7652,26699743.0,2026-09-09 00:00:00+00:00
1788926400000,0.7649,0.83,0.7634,0.8122,36515628.0,2026-09-09 04:00:00+00:00
1788940800000,0.8122,0.8466,0.7645,0.7808,32617686.0,2026-09-09 08:00:00+00:00
1788955200000,0.7809,0.8151,0.6846,0.7024,51084216.0,2026-09-09 12:00:00+00:00
1788969600000,0.7027,0.7317,0.6351,0.643,55027446.0,2026-09-09 16:00:00+00:00
1788984000000,0.6427,0.6828,0.612,0.6818,63455828.0,2026-09-09 20:00:00+00:00
1788998400000,0.6819,0.6836,0.6125,0.6546,45130009.0,2026-09-10 00:00:00+00:00
1789012800000,0.6544,0.6639,0.6235,0.6355,27454058.0,2026-09-10 04:00:00+00:00
1789027200000,0.6354,0.6383,0.539,0.542,111739599.0,2026-09-10 08:00:00+00:00
1789041600000,0.542,0.591,0.5265,0.5498,101680465.0,2026-09-10 12:00:00+00:00
1789056000000,0.5499,0.6144,0.5491,0.5751,67057149.0,2026-09-10 16:00:00+00:00
1789070400000,0.5752,0.5912,0.5618,0.5679,25393672.0,2026-09-10 20:00:00+00:00
1789084800000,0.5678,0.6436,0.5676,0.6367,58798248.0,2026-09-11 00:00:00+00:00
1789099200000,0.6368,0.6708,0.6166,0.6341,49964471.0,2026-09-11 04:00:00+00:00
1789113600000,0.634,0.6553,0.5806,0.5945,53588822.0,2026-09-11 08:00:00+00:00
1789128000000,0.5945,0.6705,0.5832,0.6396,83946624.0,2026-09-11 12:00:00+00:00
1789142400000,0.6396,0.645,0.5866,0.6021,46197070.0,2026-09-11 16:00:00+00:00
1789156800000,0.6021,0.6087,0.5704,0.5894,26280612.0,2026-09-11 20:00:00+00:00
1789171200000,0.5893,0.6168,0.5806,0.5948,26399141.0,2026-09-12 00:00:00+00:00
1789185600000,0.5949,0.6405,0.5895,0.6301,23265858.0,2026-09-12 04:00:00+00:00
1789200000000,0.63,0.6622,0.6196,0.6346,35986985.0,2026-09-12 08:00:00+00:00
1789214400000,0.6348,0.6588,0.6216,0.6282,23499015.0,2026-09-12 12:00:00+00:00
1789228800000,0.6281,0.6315,0.5738,0.5791,28690225.0,2026-09-12 16:00:00+00:00
1789243200000,0.5791,0.6024,0.5743,0.5988,14836306.0,2026-09-12 20:00:00+00:00
1789257600000,0.5987,0.6141,0.592,0.6037,8368242.0,2026-09-13 00:00:00+00:00
