ts,open,high,low,close,volume,dt
1783684800000,172.0,172.6,168.0,171.68,46789.54,2026-07-10 12:00:00+00:00
1783699200000,171.68,177.48,167.03,168.36,638306.44,2026-07-10 16:00:00+00:00
1783713600000,168.35,173.08,167.92,171.49,67197.8,2026-07-10 20:00:00+00:00
1783728000000,171.5,172.67,170.63,171.03,88408.32,2026-07-11 00:00:00+00:00
1783742400000,171.03,171.06,170.37,170.55,27144.71,2026-07-11 04:00:00+00:00
1783756800000,170.56,170.88,170.11,170.49,18724.68,2026-07-11 08:00:00+00:00
1783771200000,170.5,170.88,169.41,169.79,33578.35,2026-07-11 12:00:00+00:00
1783785600000,169.79,171.11,169.5,171.0,20979.78,2026-07-11 16:00:00+00:00
1783800000000,170.97,171.72,169.64,170.66,21473.34,2026-07-11 20:00:00+00:00
1783814400000,170.65,172.0,170.57,171.12,29866.36,2026-07-12 00:00:00+00:00
1783828800000,171.13,171.94,170.82,171.64,23711.83,2026-07-12 04:00:00+00:00
1783843200000,171.65,171.73,170.62,171.14,16260.25,2026-07-12 08:00:00+00:00
1783857600000,171.13,171.35,170.57,170.79,17706.42,2026-07-12 12:00:00+00:00
1783872000000,170.79,170.95,169.75,170.52,26290.04,2026-07-12 16:00:00+00:00
1783886400000,170.53,170.9,166.28,166.83,71654.69,2026-07-12 20:00:00+00:00
1783900800000,166.84,170.52,158.24,159.09,471528.36,2026-07-13 00:00:00+00:00
1783915200000,159.08,160.2,152.34,153.92,397786.41,2026-07-13 04:00:00+00:00
1783929600000,153.93,155.58,150.84,153.82,540174.6,2026-07-13 08:00:00+00:00
1783944000000,153.82,161.99,150.89,153.29,1398530.55,2026-07-13 12:00:00+00:00
1783958400000,153.29,158.37,151.49,153.49,471976.13,2026-07-13 16:00:00+00:00
1783972800000,153.51,153.57,149.51,152.83,201579.11,2026-07-13 20:00:00+00:00
1783987200000,152.84,160.62,149.95,154.06,809777.08,2026-07-14 00:00:00+00:00
1784001600000,154.09,165.23,152.04,162.57,633497.53,2026-07-14 04:00:00+00:00
1784016000000,162.55,163.35,160.74,162.41,298467.62,2026-07-14 08:00:00+00:00
1784030400000,162.41,182.21,160.67,178.14,2912266.29,2026-07-14 12:00:00+00:00
1784044800000,178.16,193.99,177.48,193.56,2303275.2,2026-07-14 16:00:00+00:00
1784059200000,193.56,195.4,181.61,185.83,894876.21,2026-07-14 20:00:00+00:00
1784073600000,185.82,195.21,185.34,190.73,1103418.28,2026-07-15 00:00:00+00:00
1784088000000,190.76,192.07,183.1,184.92,614324.98,2026-07-15 04:00:00+00:00
1784102400000,184.91,185.57,179.94,182.12,695576.38,2026-07-15 08:00:00+00:00
1784116800000,182.13,187.5,170.45,171.12,2964835.42,2026-07-15 12:00:00+00:00
1784131200000,171.11,180.61,166.51,176.32,1972581.04,2026-07-15 16:00:00+00:00
1784145600000,176.32,176.58,169.66,170.04,238996.36,2026-07-15 20:00:00+00:00
1784160000000,170.04,172.5,165.4,170.22,816598.19,2026-07-16 00:00:00+00:00
1784174400000,170.22,172.74,165.67,166.54,588568.48,2026-07-16 04:00:00+00:00
1784188800000,166.55,167.21,162.82,163.76,523689.98,2026-07-16 08:00:00+00:00
1784203200000,163.76,168.1,159.54,161.61,1530121.13,2026-07-16 12:00:00+00:00
1784217600000,161.62,163.93,151.68,153.08,1076390.14,2026-07-16 16:00:00+00:00
1784232000000,153.09,157.16,151.64,153.13,354019.35,2026-07-16 20:00:00+00:00
1784246400000,153.12,156.34,151.15,154.53,590803.8,2026-07-17 00:00:00+00:00
1784260800000,154.51,154.67,146.6,148.39,1116027.61,2026-07-17 04:00:00+00:00
1784275200000,148.4,160.99,146.35,154.81,2030626.15,2026-07-17 08:00:00+00:00
1784289600000,154.8,164.53,145.6,164.05,4141170.1,2026-07-17 12:00:00+00:00
1784304000000,164.05,167.29,152.71,154.16,3005505.5,2026-07-17 16:00:00+00:00
1784318400000,154.17,154.79,152.55,153.75,213232.21,2026-07-17 20:00:00+00:00
1784332800000,153.74,154.95,152.97,154.49,125127.67,2026-07-18 00:00:00+00:00
1784347200000,154.49,154.95,153.17,153.82,70973.39,2026-07-18 04:00:00+00:00
1784361600000,153.81,154.16,153.33,153.75,42628.51,2026-07-18 08:00:00+00:00
1784376000000,153.74,153.78,151.25,152.15,176488.56,2026-07-18 12:00:00+00:00
1784390400000,152.14,152.82,151.75,152.7,46299.29,2026-07-18 16:00:00+00:00
1784404800000,152.7,153.09,152.08,152.57,34427.86,2026-07-18 20:00:00+00:00
1784419200000,152.57,153.87,152.53,153.8,83723.94,2026-07-19 00:00:00+00:00
1784433600000,153.81,155.55,153.81,155.2,118316.77,2026-07-19 04:00:00+00:00
1784448000000,155.2,157.29,153.66,153.91,178758.89,2026-07-19 08:00:00+00:00
1784462400000,153.92,155.46,153.56,154.12,80512.81,2026-07-19 12:00:00+00:00
1784476800000,154.11,155.29,152.11,154.21,75502.41,2026-07-19 16:00:00+00:00
1784491200000,154.21,158.24,153.01,153.36,298648.21,2026-07-19 20:00:00+00:00
1784505600000,153.37,163.63,153.03,157.43,1262268.32,2026-07-20 00:00:00+00:00
1784520000000,157.43,159.17,155.84,158.2,483442.38,2026-07-20 04:00:00+00:00
1784534400000,158.22,164.12,157.98,163.45,780510.54,2026-07-20 08:00:00+00:00
1784548800000,163.45,164.25,153.92,158.24,2268425.94,2026-07-20 12:00:00+00:00
1784563200000,158.22,159.24,149.9,151.37,946762.16,2026-07-20 16:00:00+00:00
1784577600000,151.38,154.92,151.16,153.79,292441.04,2026-07-20 20:00:00+00:00
1784592000000,153.77,160.4,150.8,159.43,813843.3,2026-07-21 00:00:00+00:00
1784606400000,159.39,160.45,157.47,160.18,432166.18,2026-07-21 04:00:00+00:00
1784620800000,160.19,162.99,159.82,160.27,581586.58,2026-07-21 08:00:00+00:00
1784635200000,160.28,168.65,159.15,164.83,1934633.58,2026-07-21 12:00:00+00:00
1784649600000,164.83,172.87,164.66,171.82,1251395.72,2026-07-21 16:00:00+00:00
1784664000000,171.81,174.88,171.04,173.06,418464.08,2026-07-21 20:00:00+00:00
1784678400000,173.06,175.74,167.31,168.88,746235.56,2026-07-22 00:00:00+00:00
1784692800000,168.88,170.12,161.4,162.6,732562.59,2026-07-22 04:00:00+00:00
1784707200000,162.62,163.13,160.14,160.91,352092.76,2026-07-22 08:00:00+00:00
1784721600000,160.91,169.54,158.89,169.08,1703578.11,2026-07-22 12:00:00+00:00
1784736000000,169.08,170.06,164.9,165.28,604022.19,2026-07-22 16:00:00+00:00
1784750400000,165.3,172.88,164.43,169.64,694342.23,2026-07-22 20:00:00+00:00
1784764800000,169.65,173.48,165.86,169.2,785193.53,2026-07-23 00:00:00+00:00
1784779200000,169.2,173.03,168.48,172.81,488046.95,2026-07-23 04:00:00+00:00
1784793600000,172.8,177.62,172.25,173.5,941913.29,2026-07-23 08:00:00+00:00
1784808000000,173.5,177.99,167.8,172.63,2572753.41,2026-07-23 12:00:00+00:00
1784822400000,172.64,175.14,167.21,169.48,945589.71,2026-07-23 16:00:00+00:00
1784836800000,169.48,172.55,168.14,169.91,315824.78,2026-07-23 20:00:00+00:00
1784851200000,169.92,170.64,162.08,162.53,849581.23,2026-07-24 00:00:00+00:00
1784865600000,162.54,166.5,161.83,165.24,505857.61,2026-07-24 04:00:00+00:00
1784880000000,165.22,167.18,163.87,165.75,436009.26,2026-07-24 08:00:00+00:00
1784894400000,165.74,166.91,156.53,158.95,1714863.84,2026-07-24 12:00:00+00:00
1784908800000,158.96,159.88,153.28,154.72,632309.98,2026-07-24 16:00:00+00:00
1784923200000,154.71,155.77,153.02,154.49,170296.65,2026-07-24 20:00:00+00:00
1784937600000,154.49,157.56,154.16,156.65,118541.72,2026-07-25 00:00:00+00:00
1784952000000,156.65,157.75,156.59,157.38,108633.29,2026-07-25 04:00:00+00:00
1784966400000,157.39,158.0,157.05,157.9,55519.38,2026-07-25 08:00:00+00:00
1784980800000,157.9,158.48,157.43,157.9,96344.55,2026-07-25 12:00:00+00:00
1784995200000,157.9,159.35,157.88,159.29,78654.35,2026-07-25 16:00:00+00:00
1785009600000,159.28,160.08,159.03,159.97,43396.2,2026-07-25 20:00:00+00:00
1785024000000,159.96,161.75,158.84,161.36,97528.51,2026-07-26 00:00:00+00:00
1785038400000,161.36,162.41,160.34,160.8,134165.69,2026-07-26 04:00:00+00:00
1785052800000,160.8,161.99,160.14,161.68,84390.25,2026-07-26 08:00:00+00:00
1785067200000,161.67,162.0,160.89,161.45,47333.65,2026-07-26 12:00:00+00:00
1785081600000,161.46,161.86,161.19,161.2,23084.76,2026-07-26 16:00:00+00:00
1785096000000,161.2,164.86,160.6,163.79,242054.25,2026-07-26 20:00:00+00:00
1785110400000,163.78,164.02,156.75,159.86,805208.98,2026-07-27 00:00:00+00:00
1785124800000,159.87,164.71,159.4,163.99,335968.37,2026-07-27 04:00:00+00:00
1785139200000,164.0,164.5,160.84,161.72,365418.32,2026-07-27 08:00:00+00:00
1785153600000,161.72,162.34,139.52,141.77,3323932.68,2026-07-27 12:00:00+00:00
1785168000000,141.78,146.38,139.1,143.37,1569946.21,2026-07-27 16:00:00+00:00
1785182400000,143.4,144.62,139.5,142.46,493437.81,2026-07-27 20:00:00+00:00
1785196800000,142.45,143.62,136.36,139.21,856213.16,2026-07-28 00:00:00+00:00
1785211200000,139.22,139.42,136.53,137.32,505075.32,2026-07-28 04:00:00+00:00
1785225600000,137.33,139.09,133.72,137.14,997455.85,2026-07-28 08:00:00+00:00
1785240000000,137.14,137.84,128.74,133.42,3614274.6,2026-07-28 12:00:00+00:00
1785254400000,133.43,134.42,129.53,130.33,1197992.84,2026-07-28 16:00:00+00:00
1785268800000,130.33,136.21,116.4,132.56,2687185.19,2026-07-28 20:00:00+00:00
1785283200000,132.55,138.71,118.71,118.99,3073085.87,2026-07-29 00:00:00+00:00
1785297600000,118.99,128.43,114.06,128.0,3110645.56,2026-07-29 04:00:00+00:00
1785312000000,127.99,132.17,125.12,129.51,2177273.81,2026-07-29 08:00:00+00:00
1785326400000,129.5,136.23,126.66,128.41,3823658.52,2026-07-29 12:00:00+00:00
1785340800000,128.42,137.29,125.02,127.01,2191156.86,2026-07-29 16:00:00+00:00
1785355200000,127.02,127.98,121.68,125.91,1277696.09,2026-07-29 20:00:00+00:00
1785369600000,125.92,132.06,122.38,125.64,2380255.41,2026-07-30 00:00:00+00:00
1785384000000,125.65,125.92,121.93,122.22,1039802.19,2026-07-30 04:00:00+00:00
1785398400000,122.22,131.53,120.52,130.71,1511645.41,2026-07-30 08:00:00+00:00
1785412800000,130.71,148.88,130.61,146.86,4767662.69,2026-07-30 12:00:00+00:00
1785427200000,146.85,150.39,145.61,148.91,1457120.24,2026-07-30 16:00:00+00:00
1785441600000,148.93,155.19,148.41,153.7,1265635.33,2026-07-30 20:00:00+00:00
1785456000000,153.71,161.89,152.49,156.09,2303512.82,2026-07-31 00:00:00+00:00
1785470400000,156.09,162.18,154.75,158.57,1755074.68,2026-07-31 04:00:00+00:00
1785484800000,158.56,161.16,156.81,159.57,1150770.99,2026-07-31 08:00:00+00:00
1785499200000,159.59,162.86,145.04,146.8,4640869.39,2026-07-31 12:00:00+00:00
1785513600000,146.82,149.64,143.74,143.98,866453.29,2026-07-31 16:00:00+00:00
1785528000000,143.97,144.4,142.13,142.9,292490.25,2026-07-31 20:00:00+00:00
1785542400000,142.91,147.52,142.91,144.66,181162.61,2026-08-01 00:00:00+00:00
1785556800000,144.65,146.33,144.49,146.17,78126.2,2026-08-01 04:00:00+00:00
1785571200000,146.17,146.3,145.49,146.0,50078.13,2026-08-01 08:00:00+00:00
1785585600000,146.0,146.17,144.49,144.64,77495.8,2026-08-01 12:00:00+00:00
1785600000000,144.64,145.06,141.3,142.35,118899.65,2026-08-01 16:00:00+00:00
1785614400000,142.36,145.45,141.99,145.14,88957.23,2026-08-01 20:00:00+00:00
1785628800000,145.14,149.7,145.0,148.04,243951.09,2026-08-02 00:00:00+00:00
1785643200000,148.04,149.18,147.63,148.92,111974.94,2026-08-02 04:00:00+00:00
1785657600000,148.92,149.55,145.37,146.01,171105.73,2026-08-02 08:00:00+00:00
1785672000000,146.01,147.17,145.86,146.92,68212.67,2026-08-02 12:00:00+00:00
1785686400000,146.93,150.0,146.62,149.51,106638.61,2026-08-02 16:00:00+00:00
1785700800000,149.51,152.15,148.05,150.37,386388.88,2026-08-02 20:00:00+00:00
1785715200000,150.35,150.47,144.16,145.76,1011890.86,2026-08-03 00:00:00+00:00
1785729600000,145.77,146.73,143.29,143.77,389835.56,2026-08-03 04:00:00+00:00
1785744000000,143.76,144.08,137.45,137.82,1158763.31,2026-08-03 08:00:00+00:00
1785758400000,137.81,141.93,134.85,139.44,2537441.92,2026-08-03 12:00:00+00:00
1785772800000,139.44,144.31,139.39,142.86,741295.93,2026-08-03 16:00:00+00:00
1785787200000,142.86,147.17,142.43,146.97,495553.88,2026-08-03 20:00:00+00:00
1785801600000,146.97,147.76,139.35,141.48,1075323.82,2026-08-04 00:00:00+00:00
1785816000000,141.48,146.29,139.86,145.79,660424.41,2026-08-04 04:00:00+00:00
1785830400000,145.78,150.05,143.91,149.93,792416.19,2026-08-04 08:00:00+00:00
1785844800000,149.93,152.74,146.89,150.51,2151021.37,2026-08-04 12:00:00+00:00
1785859200000,150.52,155.56,150.27,154.49,741541.22,2026-08-04 16:00:00+00:00
1785873600000,154.51,155.56,150.34,155.33,582520.18,2026-08-04 20:00:00+00:00
1785888000000,155.32,156.48,152.08,155.1,830782.32,2026-08-05 00:00:00+00:00
1785902400000,155.1,156.76,152.48,153.0,420387.05,2026-08-05 04:00:00+00:00
1785916800000,152.99,153.65,148.64,150.25,918987.59,2026-08-05 08:00:00+00:00
1785931200000,150.24,155.66,149.45,153.91,1740380.26,2026-08-05 12:00:00+00:00
1785945600000,153.91,156.26,150.69,150.96,984824.42,2026-08-05 16:00:00+00:00
1785960000000,150.96,151.81,146.72,148.0,911064.88,2026-08-05 20:00:00+00:00
1785974400000,147.99,148.96,143.18,144.2,827238.66,2026-08-06 00:00:00+00:00
1785988800000,144.21,144.67,141.23,141.99,497752.44,2026-08-06 04:00:00+00:00
1786003200000,141.98,143.0,139.92,141.61,604439.23,2026-08-06 08:00:00+00:00
1786017600000,141.61,147.19,137.81,144.58,2271121.7,2026-08-06 12:00:00+00:00
1786032000000,144.59,144.66,142.31,143.6,830705.46,2026-08-06 16:00:00+00:00
1786046400000,143.6,145.06,142.72,144.33,257605.49,2026-08-06 20:00:00+00:00
1786060800000,144.33,146.1,138.44,139.09,1266837.26,2026-08-07 00:00:00+00:00
1786075200000,139.09,143.02,138.36,142.92,655874.47,2026-08-07 04:00:00+00:00
1786089600000,142.92,144.82,141.47,142.0,678369.39,2026-08-07 08:00:00+00:00
1786104000000,142.0,145.43,134.05,138.01,2509042.62,2026-08-07 12:00:00+00:00
1786118400000,138.02,138.92,135.53,138.12,444697.84,2026-08-07 16:00:00+00:00
1786132800000,138.11,138.37,137.4,138.2,94144.99,2026-08-07 20:00:00+00:00
1786147200000,138.21,138.51,137.43,137.59,45990.22,2026-08-08 00:00:00+00:00
1786161600000,137.58,137.73,137.31,137.57,23522.46,2026-08-08 04:00:00+00:00
1786176000000,137.57,138.09,137.45,137.85,31095.27,2026-08-08 08:00:00+00:00
1786190400000,137.85,140.1,137.76,139.33,133989.8,2026-08-08 12:00:00+00:00
1786204800000,139.34,139.76,139.03,139.37,27356.29,2026-08-08 16:00:00+00:00
1786219200000,139.37,139.43,138.8,139.17,15301.34,2026-08-08 20:00:00+00:00
1786233600000,139.17,139.44,138.25,138.86,47875.49,2026-08-09 00:00:00+00:00
1786248000000,138.85,139.43,138.64,138.89,41331.38,2026-08-09 04:00:00+00:00
1786262400000,138.89,139.3,138.5,139.14,26735.0,2026-08-09 08:00:00+00:00
