ts,open,high,low,close,volume,dt
1775563200000,726.9,727.44,695.44,712.76,2458.42,2026-04-07 12:00:00+00:00
1775577600000,712.76,722.84,689.59,710.5,1063.31,2026-04-07 16:00:00+00:00
1775592000000,710.64,756.37,708.56,752.16,723.51,2026-04-07 20:00:00+00:00
1775606400000,752.28,764.01,750.24,761.13,453.32,2026-04-08 00:00:00+00:00
1775620800000,761.06,777.1,760.79,769.57,831.17,2026-04-08 04:00:00+00:00
1775635200000,769.75,783.25,767.56,776.5,935.22,2026-04-08 08:00:00+00:00
1775649600000,776.9,805.52,758.48,780.08,4195.66,2026-04-08 12:00:00+00:00
1775664000000,780.36,793.27,775.92,780.5,1672.43,2026-04-08 16:00:00+00:00
1775678400000,780.13,783.29,770.48,773.59,293.95,2026-04-08 20:00:00+00:00
1775692800000,773.79,780.05,758.34,770.41,589.59,2026-04-09 00:00:00+00:00
1775707200000,770.44,778.03,767.55,773.25,431.95,2026-04-09 04:00:00+00:00
1775721600000,773.23,799.33,768.0,797.72,1177.69,2026-04-09 08:00:00+00:00
1775736000000,797.91,833.13,797.89,832.85,6582.08,2026-04-09 12:00:00+00:00
1775750400000,833.13,853.62,830.38,850.08,2498.11,2026-04-09 16:00:00+00:00
1775764800000,849.84,862.52,847.92,859.74,1909.53,2026-04-09 20:00:00+00:00
1775779200000,859.61,874.41,855.93,869.4,2080.36,2026-04-10 00:00:00+00:00
1775793600000,869.1,869.67,852.58,856.86,1100.8,2026-04-10 04:00:00+00:00
1775808000000,857.04,878.0,856.53,873.52,1760.28,2026-04-10 08:00:00+00:00
1775822400000,873.44,879.58,835.04,846.04,6305.92,2026-04-10 12:00:00+00:00
1775836800000,846.04,861.94,839.1,851.34,2527.24,2026-04-10 16:00:00+00:00
1775851200000,851.27,857.07,850.57,856.83,247.33,2026-04-10 20:00:00+00:00
1775865600000,856.78,860.57,848.4,855.28,367.4,2026-04-11 00:00:00+00:00
1775880000000,855.36,858.8,854.0,856.39,211.97,2026-04-11 04:00:00+00:00
1775894400000,856.62,856.96,855.0,855.26,339.36,2026-04-11 08:00:00+00:00
1775908800000,855.26,855.72,852.71,855.33,175.37,2026-04-11 12:00:00+00:00
1775923200000,855.33,858.86,854.14,856.26,652.08,2026-04-11 16:00:00+00:00
1775937600000,856.38,857.09,851.74,853.43,361.93,2026-04-11 20:00:00+00:00
1775952000000,853.26,860.14,850.05,850.6,1701.68,2026-04-12 00:00:00+00:00
