ts,open,high,low,close,volume,dt
1762416000000,0.1272,0.2109,0.116,0.1476,358546685.0,2025-11-06 08:00:00+00:00
1762430400000,0.1476,0.2576,0.125,0.1256,976471764.0,2025-11-06 12:00:00+00:00
1762444800000,0.1257,0.1437,0.1171,0.1228,235592997.0,2025-11-06 16:00:00+00:00
1762459200000,0.1228,0.1278,0.022,0.0729,1454782531.0,2025-11-06 20:00:00+00:00
1762473600000,0.0729,0.1288,0.0621,0.1222,1126552031.0,2025-11-07 00:00:00+00:00
1762488000000,0.1221,0.1275,0.0876,0.0969,397063549.0,2025-11-07 04:00:00+00:00
1762502400000,0.0968,0.1156,0.0892,0.1107,268207083.0,2025-11-07 08:00:00+00:00
1762516800000,0.1107,0.226,0.0895,0.2127,445860656.0,2025-11-07 12:00:00+00:00
1762531200000,0.2127,0.2992,0.1716,0.1933,722162463.0,2025-11-07 16:00:00+00:00
1762545600000,0.1932,0.2596,0.1703,0.2455,369431635.0,2025-11-07 20:00:00+00:00
1762560000000,0.2455,0.2715,0.174,0.1796,398687656.0,2025-11-08 00:00:00+00:00
1762574400000,0.1795,0.1897,0.1473,0.1707,307628269.0,2025-11-08 04:00:00+00:00
1762588800000,0.1706,0.1893,0.1533,0.1588,311875265.0,2025-11-08 08:00:00+00:00
1762603200000,0.1588,0.2195,0.1556,0.1891,585189900.0,2025-11-08 12:00:00+00:00
1762617600000,0.1892,0.197,0.1623,0.1719,199816288.0,2025-11-08 16:00:00+00:00
1762632000000,0.1718,0.1947,0.1654,0.1837,139473640.0,2025-11-08 20:00:00+00:00
1762646400000,0.1837,0.1898,0.151,0.1535,129672076.0,2025-11-09 00:00:00+00:00
1762660800000,0.1535,0.173,0.141,0.1685,139752033.0,2025-11-09 04:00:00+00:00
1762675200000,0.1685,0.2347,0.1657,0.2203,348299913.0,2025-11-09 08:00:00+00:00
1762689600000,0.2204,0.2266,0.1751,0.1889,278979313.0,2025-11-09 12:00:00+00:00
1762704000000,0.1889,0.1894,0.1716,0.1793,87135908.0,2025-11-09 16:00:00+00:00
1762718400000,0.1793,0.188,0.1604,0.1754,93263179.0,2025-11-09 20:00:00+00:00
1762732800000,0.1755,0.1872,0.1679,0.184,96616068.0,2025-11-10 00:00:00+00:00
1762747200000,0.1839,0.185,0.168,0.1721,93517502.0,2025-11-10 04:00:00+00:00
1762761600000,0.1721,0.1754,0.1517,0.1639,117976165.0,2025-11-10 08:00:00+00:00
1762776000000,0.1638,0.1714,0.151,0.1542,107982337.0,2025-11-10 12:00:00+00:00
1762790400000,0.1542,0.166,0.1505,0.1585,54997197.0,2025-11-10 16:00:00+00:00
1762804800000,0.1586,0.1627,0.1442,0.1592,59618885.0,2025-11-10 20:00:00+00:00
1762819200000,0.1592,0.1713,0.153,0.1644,76366927.0,2025-11-11 00:00:00+00:00
1762833600000,0.1644,0.1688,0.1505,0.153,63205016.0,2025-11-11 04:00:00+00:00
1762848000000,0.153,0.1646,0.1492,0.1629,67653818.0,2025-11-11 08:00:00+00:00
