ts,open,high,low,close,volume,dt
1737532800000,0.00822,0.008662,0.00733,0.007991,8341574087.0,2025-01-22 08:00:00+00:00
1737547200000,0.007991,0.00805,0.006601,0.006651,14790954690.0,2025-01-22 12:00:00+00:00
1737561600000,0.006652,0.007697,0.006254,0.007227,24444468109.0,2025-01-22 16:00:00+00:00
1737576000000,0.007228,0.007896,0.006925,0.007321,11977631678.0,2025-01-22 20:00:00+00:00
1737590400000,0.007321,0.007651,0.007068,0.007432,6972454874.0,2025-01-23 00:00:00+00:00
1737604800000,0.007433,0.007484,0.0069,0.00746,6802236489.0,2025-01-23 04:00:00+00:00
1737619200000,0.00746,0.007499,0.006233,0.006876,11427162493.0,2025-01-23 08:00:00+00:00
1737633600000,0.006879,0.007138,0.006578,0.006803,6265641322.0,2025-01-23 12:00:00+00:00
1737648000000,0.006805,0.007045,0.006433,0.006549,4344290467.0,2025-01-23 16:00:00+00:00
1737662400000,0.006549,0.006747,0.00642,0.006681,3193986059.0,2025-01-23 20:00:00+00:00
1737676800000,0.006678,0.006678,0.005539,0.005718,10072040363.0,2025-01-24 00:00:00+00:00
1737691200000,0.005716,0.005974,0.00564,0.005795,4221728731.0,2025-01-24 04:00:00+00:00
1737705600000,0.005794,0.005943,0.005643,0.005747,3324392752.0,2025-01-24 08:00:00+00:00
1737720000000,0.005747,0.005779,0.005528,0.005576,3154841916.0,2025-01-24 12:00:00+00:00
1737734400000,0.005576,0.005666,0.005443,0.00545,3803384317.0,2025-01-24 16:00:00+00:00
1737748800000,0.00545,0.0055,0.005236,0.005336,3678703458.0,2025-01-24 20:00:00+00:00
1737763200000,0.005336,0.005777,0.005055,0.005444,8750322582.0,2025-01-25 00:00:00+00:00
1737777600000,0.005444,0.005662,0.005312,0.005343,4633865643.0,2025-01-25 04:00:00+00:00
1737792000000,0.005341,0.005416,0.005088,0.005178,3284404632.0,2025-01-25 08:00:00+00:00
1737806400000,0.005178,0.00568,0.005101,0.005543,5765750864.0,2025-01-25 12:00:00+00:00
1737820800000,0.005545,0.005557,0.005324,0.00544,2702011691.0,2025-01-25 16:00:00+00:00
1737835200000,0.00544,0.00546,0.005245,0.005291,1918235063.0,2025-01-25 20:00:00+00:00
1737849600000,0.005291,0.006742,0.005133,0.005992,15828038113.0,2025-01-26 00:00:00+00:00
1737864000000,0.00599,0.006142,0.005602,0.005627,4926623410.0,2025-01-26 04:00:00+00:00
1737878400000,0.005627,0.005678,0.00542,0.005495,3162099359.0,2025-01-26 08:00:00+00:00
1737892800000,0.005494,0.005589,0.005345,0.005399,3224388315.0,2025-01-26 12:00:00+00:00
