ts,open,high,low,close,volume,dt
1694664000000,143.3,144.59,143.18,144.08,14270.375,2023-09-14 04:00:00+00:00
1694678400000,144.08,144.78,143.63,144.57,20319.885,2023-09-14 08:00:00+00:00
1694692800000,144.59,145.76,144.38,145.71,23915.344,2023-09-14 12:00:00+00:00
1694707200000,145.71,146.51,145.44,146.25,18147.895,2023-09-14 16:00:00+00:00
1694721600000,146.26,146.98,145.0,146.43,23859.248,2023-09-14 20:00:00+00:00
1694736000000,146.42,149.35,146.26,148.2,34174.697,2023-09-15 00:00:00+00:00
1694750400000,148.19,148.6,147.39,147.45,21429.931,2023-09-15 04:00:00+00:00
1694764800000,147.43,147.92,146.51,146.74,20283.122,2023-09-15 08:00:00+00:00
1694779200000,146.73,148.1,146.66,146.98,30855.177,2023-09-15 12:00:00+00:00
1694793600000,146.97,148.23,146.87,147.3,16411.012,2023-09-15 16:00:00+00:00
1694808000000,147.3,147.7,146.05,147.58,22274.716,2023-09-15 20:00:00+00:00
1694822400000,147.58,148.06,145.75,146.32,27036.265,2023-09-16 00:00:00+00:00
1694836800000,146.31,146.68,145.24,145.55,17355.891,2023-09-16 04:00:00+00:00
1694851200000,145.56,145.56,144.57,145.28,17487.519,2023-09-16 08:00:00+00:00
1694865600000,145.28,145.44,143.86,144.69,16295.427,2023-09-16 12:00:00+00:00
1694880000000,144.69,145.63,144.41,145.11,13798.52,2023-09-16 16:00:00+00:00
1694894400000,145.12,145.84,144.15,144.26,11694.914,2023-09-16 20:00:00+00:00
1694908800000,144.25,144.36,142.96,143.67,18012.967,2023-09-17 00:00:00+00:00
1694923200000,143.66,143.91,143.18,143.81,8117.447,2023-09-17 04:00:00+00:00
1694937600000,143.82,146.12,143.64,145.16,23024.797,2023-09-17 08:00:00+00:00
1694952000000,145.16,145.37,144.04,144.45,13082.194,2023-09-17 12:00:00+00:00
1694966400000,144.43,145.73,144.0,145.51,25227.342,2023-09-17 16:00:00+00:00
1694980800000,145.52,146.2,144.61,145.63,32737.903,2023-09-17 20:00:00+00:00
1694995200000,145.63,147.25,145.36,146.17,36682.992,2023-09-18 00:00:00+00:00
1695009600000,146.18,146.96,146.06,146.44,15380.747,2023-09-18 04:00:00+00:00
1695024000000,146.45,147.89,146.3,147.38,24792.568,2023-09-18 08:00:00+00:00
1695038400000,147.38,147.5,146.46,146.61,22053.218,2023-09-18 12:00:00+00:00
1695052800000,146.61,146.72,144.81,145.21,30199.38,2023-09-18 16:00:00+00:00
1695067200000,145.21,145.84,144.83,145.63,22821.183,2023-09-18 20:00:00+00:00
1695081600000,145.63,147.39,145.5,146.49,20650.762,2023-09-19 00:00:00+00:00
1695096000000,146.49,147.18,146.04,147.11,11967.296,2023-09-19 04:00:00+00:00
1695110400000,147.1,148.44,146.95,148.41,20406.763,2023-09-19 08:00:00+00:00
1695124800000,148.4,148.43,147.01,147.73,19209.837,2023-09-19 12:00:00+00:00
1695139200000,147.73,147.8,146.2,147.66,15135.356,2023-09-19 16:00:00+00:00
1695153600000,147.64,148.0,146.98,147.61,10744.358,2023-09-19 20:00:00+00:00
1695168000000,147.6,148.4,146.45,146.54,16007.152,2023-09-20 00:00:00+00:00
1695182400000,146.55,147.03,145.76,147.0,14505.42,2023-09-20 04:00:00+00:00
1695196800000,146.98,147.6,146.03,147.06,14624.49,2023-09-20 08:00:00+00:00
1695211200000,147.03,148.3,146.52,147.49,19525.662,2023-09-20 12:00:00+00:00
1695225600000,147.5,148.06,146.18,146.82,26899.758,2023-09-20 16:00:00+00:00
1695240000000,146.85,148.08,146.7,148.07,11069.574,2023-09-20 20:00:00+00:00
1695254400000,148.07,148.33,147.55,148.1,16106.42,2023-09-21 00:00:00+00:00
1695268800000,148.1,148.32,146.96,147.29,13394.422,2023-09-21 04:00:00+00:00
1695283200000,147.27,147.3,145.51,146.52,25155.697,2023-09-21 08:00:00+00:00
1695297600000,146.52,146.79,145.25,146.51,20087.134,2023-09-21 12:00:00+00:00
1695312000000,146.53,147.15,146.22,146.52,14301.281,2023-09-21 16:00:00+00:00
1695326400000,146.53,146.7,144.94,145.11,12291.404,2023-09-21 20:00:00+00:00
1695340800000,145.09,146.29,144.31,146.19,16058.439,2023-09-22 00:00:00+00:00
1695355200000,146.18,146.61,146.04,146.43,7814.41,2023-09-22 04:00:00+00:00
1695369600000,146.45,146.94,145.76,146.14,10588.484,2023-09-22 08:00:00+00:00
1695384000000,146.15,146.34,145.02,145.11,11213.082,2023-09-22 12:00:00+00:00
1695398400000,145.12,145.63,144.9,145.16,16418.758,2023-09-22 16:00:00+00:00
1695412800000,145.14,145.55,144.44,145.0,12206.352,2023-09-22 20:00:00+00:00
