ts,open,high,low,close,volume,dt
1768996800000,0.030766,0.032999,0.0248,0.027502,1466599689.0,2026-01-21 12:00:00+00:00
1769011200000,0.027502,0.0298,0.0246,0.027095,1248510617.0,2026-01-21 16:00:00+00:00
1769025600000,0.027127,0.029626,0.0264,0.028384,311920489.0,2026-01-21 20:00:00+00:00
1769040000000,0.028384,0.039452,0.0277,0.034909,1783555370.0,2026-01-22 00:00:00+00:00
1769054400000,0.034884,0.0394,0.030457,0.031769,986936488.0,2026-01-22 04:00:00+00:00
1769068800000,0.03177,0.0322,0.027,0.029443,1124953987.0,2026-01-22 08:00:00+00:00
1769083200000,0.029444,0.031809,0.026901,0.028937,913097211.0,2026-01-22 12:00:00+00:00
1769097600000,0.028927,0.031253,0.028165,0.030462,337131939.0,2026-01-22 16:00:00+00:00
1769112000000,0.030461,0.036864,0.029234,0.036409,477766171.0,2026-01-22 20:00:00+00:00
1769126400000,0.036464,0.0388,0.033083,0.03609,1179501070.0,2026-01-23 00:00:00+00:00
1769140800000,0.03607,0.0423,0.0347,0.036136,976025222.0,2026-01-23 04:00:00+00:00
1769155200000,0.036095,0.038254,0.0322,0.035907,934246271.0,2026-01-23 08:00:00+00:00
1769169600000,0.035921,0.038494,0.029382,0.030192,1087384298.0,2026-01-23 12:00:00+00:00
1769184000000,0.030175,0.033098,0.029133,0.031011,559303467.0,2026-01-23 16:00:00+00:00
1769198400000,0.031016,0.033526,0.028424,0.033478,402839822.0,2026-01-23 20:00:00+00:00
1769212800000,0.033478,0.033779,0.029297,0.029759,389724889.0,2026-01-24 00:00:00+00:00
1769227200000,0.02977,0.030888,0.027118,0.027221,408671062.0,2026-01-24 04:00:00+00:00
1769241600000,0.027232,0.0286,0.027032,0.028213,343812709.0,2026-01-24 08:00:00+00:00
1769256000000,0.028216,0.02962,0.027372,0.027908,338710978.0,2026-01-24 12:00:00+00:00
1769270400000,0.027897,0.02924,0.027782,0.028786,162463720.0,2026-01-24 16:00:00+00:00
1769284800000,0.028778,0.029548,0.028248,0.028734,125609843.0,2026-01-24 20:00:00+00:00
1769299200000,0.028734,0.029243,0.027514,0.027841,177027032.0,2026-01-25 00:00:00+00:00
1769313600000,0.027847,0.028373,0.025191,0.026272,419998440.0,2026-01-25 04:00:00+00:00
1769328000000,0.02628,0.026791,0.023256,0.023629,394442303.0,2026-01-25 08:00:00+00:00
1769342400000,0.023635,0.026324,0.023277,0.025266,321783299.0,2026-01-25 12:00:00+00:00
1769356800000,0.025265,0.02608,0.024223,0.024506,234391779.0,2026-01-25 16:00:00+00:00
1769371200000,0.0245,0.02555,0.024277,0.025131,103930164.0,2026-01-25 20:00:00+00:00
